Município,codigo_ibge,Data,Total_de_Casos,Novos_Casos,Casos_por_mm7d,Total_de_Óbitos,Novos_Óbitos,Óbitos_por_mm7d,Letalidade,População,Área_(Km2),Latitude,Longitude,Mesorregião,Microrregião
São Paulo,3550308,2020-02-25,1,0,0.0,0,0,0.0,0.0,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
São Paulo,3550308,2020-02-26,1,0,0.0,0,0,0.0,0.0,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
São Paulo,3550308,2020-02-27,1,0,0.0,0,0,0.0,0.0,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
São Paulo,3550308,2020-02-28,2,1,0.0,0,0,0.0,0.0,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
São Paulo,3550308,2020-02-29,2,0,0.0,0,0,0.0,0.0,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
São Paulo,3550308,2020-03-01,2,0,0.0,0,0,0.0,0.0,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
São Paulo,3550308,2020-03-02,2,0,0.14,0,0,0.0,0.0,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
São Paulo,3550308,2020-03-03,2,0,0.14,0,0,0.0,0.0,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
São Paulo,3550308,2020-03-04,3,1,0.29,0,0,0.0,0.0,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
São Paulo,3550308,2020-03-05,6,3,0.71,0,0,0.0,0.0,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
São Paulo,3550308,2020-03-06,6,0,0.57,0,0,0.0,0.0,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
São Paulo,3550308,2020-03-07,12,6,1.43,0,0,0.0,0.0,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
Santana de Parnaíba,3547304,2020-03-07,1,1,0.14,0,0,0.0,0.0,138132,180,-23.4439,-46.9178,Metropolitana de São Paulo,Osasco
São Paulo,3550308,2020-03-08,15,3,1.86,0,0,0.0,0.0,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
Santana de Parnaíba,3547304,2020-03-08,1,0,0.14,0,0,0.0,0.0,138132,180,-23.4439,-46.9178,Metropolitana de São Paulo,Osasco
São Paulo,3550308,2020-03-09,15,0,1.86,0,0,0.0,0.0,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
Santana de Parnaíba,3547304,2020-03-09,1,0,0.14,0,0,0.0,0.0,138132,180,-23.4439,-46.9178,Metropolitana de São Paulo,Osasco
São Paulo,3550308,2020-03-10,18,3,2.29,0,0,0.0,0.0,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
Santana de Parnaíba,3547304,2020-03-10,1,0,0.14,0,0,0.0,0.0,138132,180,-23.4439,-46.9178,Metropolitana de São Paulo,Osasco
Santana de Parnaíba,3547304,2020-03-11,1,0,0.14,0,0,0.0,0.0,138132,180,-23.4439,-46.9178,Metropolitana de São Paulo,Osasco
São Paulo,3550308,2020-03-11,29,11,3.71,0,0,0.0,0.0,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
Ferraz de Vasconcelos,3515707,2020-03-12,1,1,0.14,0,0,0.0,0.0,193037,30,-23.5411,-46.371,Metropolitana de São Paulo,Mogi das Cruzes
São Paulo,3550308,2020-03-12,44,15,5.43,0,0,0.0,0.0,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
Santana de Parnaíba,3547304,2020-03-12,1,0,0.14,0,0,0.0,0.0,138132,180,-23.4439,-46.9178,Metropolitana de São Paulo,Osasco
Ferraz de Vasconcelos,3515707,2020-03-13,1,0,0.14,0,0,0.0,0.0,193037,30,-23.5411,-46.371,Metropolitana de São Paulo,Mogi das Cruzes
Santana de Parnaíba,3547304,2020-03-13,1,0,0.14,0,0,0.0,0.0,138132,180,-23.4439,-46.9178,Metropolitana de São Paulo,Osasco
São Paulo,3550308,2020-03-13,44,0,5.43,0,0,0.0,0.0,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
Santana de Parnaíba,3547304,2020-03-14,1,0,0.0,0,0,0.0,0.0,138132,180,-23.4439,-46.9178,Metropolitana de São Paulo,Osasco
São Paulo,3550308,2020-03-14,62,18,7.14,0,0,0.0,0.0,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
Carapicuíba,3510609,2020-03-14,1,1,0.14,0,0,0.0,0.0,394598,35,-23.5235,-46.8407,Metropolitana de São Paulo,Osasco
Ferraz de Vasconcelos,3515707,2020-03-14,1,0,0.14,0,0,0.0,0.0,193037,30,-23.5411,-46.371,Metropolitana de São Paulo,Mogi das Cruzes
Ferraz de Vasconcelos,3515707,2020-03-15,1,0,0.14,0,0,0.0,0.0,193037,30,-23.5411,-46.371,Metropolitana de São Paulo,Mogi das Cruzes
São Paulo,3550308,2020-03-15,62,0,6.71,0,0,0.0,0.0,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
Carapicuíba,3510609,2020-03-15,1,0,0.14,0,0,0.0,0.0,394598,35,-23.5235,-46.8407,Metropolitana de São Paulo,Osasco
Santana de Parnaíba,3547304,2020-03-15,1,0,0.0,0,0,0.0,0.0,138132,180,-23.4439,-46.9178,Metropolitana de São Paulo,Osasco
Carapicuíba,3510609,2020-03-16,1,0,0.14,0,0,0.0,0.0,394598,35,-23.5235,-46.8407,Metropolitana de São Paulo,Osasco
Santana de Parnaíba,3547304,2020-03-16,1,0,0.0,0,0,0.0,0.0,138132,180,-23.4439,-46.9178,Metropolitana de São Paulo,Osasco
São Paulo,3550308,2020-03-16,145,83,18.57,0,0,0.0,0.0,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
São Caetano do Sul,3548807,2020-03-16,1,1,0.14,0,0,0.0,0.0,151244,15,-23.6229,-46.5548,Metropolitana de São Paulo,São Paulo
Ferraz de Vasconcelos,3515707,2020-03-16,1,0,0.14,0,0,0.0,0.0,193037,30,-23.5411,-46.371,Metropolitana de São Paulo,Mogi das Cruzes
São Bernardo do Campo,3548708,2020-03-16,1,1,0.14,0,0,0.0,0.0,812086,410,-23.6914,-46.5646,Metropolitana de São Paulo,São Paulo
Santo André,3547809,2020-03-16,1,1,0.14,0,0,0.0,0.0,693867,176,-23.6737,-46.5432,Metropolitana de São Paulo,São Paulo
Mauá,3529401,2020-03-16,1,1,0.14,0,0,0.0,0.0,460132,62,-23.6677,-46.4613,Metropolitana de São Paulo,São Paulo
Guarulhos,3518800,2020-03-17,1,1,0.14,0,0,0.0,0.0,1351275,319,-23.4538,-46.5333,Metropolitana de São Paulo,Guarulhos
Santo André,3547809,2020-03-17,1,0,0.14,0,0,0.0,0.0,693867,176,-23.6737,-46.5432,Metropolitana de São Paulo,São Paulo
São Bernardo do Campo,3548708,2020-03-17,1,0,0.14,0,0,0.0,0.0,812086,410,-23.6914,-46.5646,Metropolitana de São Paulo,São Paulo
Carapicuíba,3510609,2020-03-17,1,0,0.14,0,0,0.0,0.0,394598,35,-23.5235,-46.8407,Metropolitana de São Paulo,Osasco
Ferraz de Vasconcelos,3515707,2020-03-17,1,0,0.14,0,0,0.0,0.0,193037,30,-23.5411,-46.371,Metropolitana de São Paulo,Mogi das Cruzes
Santana de Parnaíba,3547304,2020-03-17,1,0,0.0,0,0,0.0,0.0,138132,180,-23.4439,-46.9178,Metropolitana de São Paulo,Osasco
São Paulo,3550308,2020-03-17,156,11,19.71,1,1,0.14,0.01,11869660,1521,-23.5329,-46.6395,Metropolitana de São Paulo,São Paulo
São Caetano do Sul,3548807,2020-03-17,1,0,0.14,0,0,0.0,0.0,151244,15,-23.6229,-46.5548,Metropolitana de São Paulo,São Paulo
