Município,codigo_ibge,Índice de Isolamento (%),Dia da Semana,Data
Ibiúna,3519709,51,terça-feira ,2020-03-17
Cosmópolis,3512803,43,terça-feira ,2020-03-17
Cotia,3513009,42,terça-feira ,2020-03-17
Jandira,3525003,37,terça-feira ,2020-03-17
Vinhedo,3556701,43,terça-feira ,2020-03-17
Santos,3548500,37,terça-feira ,2020-03-17
Piedade,3537800,49,terça-feira ,2020-03-17
Santana De Parnaíba,3547304,41,terça-feira ,2020-03-17
Porto Feliz,3540606,42,terça-feira ,2020-03-17
Lins,3527108,40,terça-feira ,2020-03-17
Praia Grande,3541000,41,terça-feira ,2020-03-17
Itatiba,3523404,37,terça-feira ,2020-03-17
Mauá,3529401,38,terça-feira ,2020-03-17
Mirassol,3530300,43,terça-feira ,2020-03-17
Mogi Das Cruzes,3530607,40,terça-feira ,2020-03-17
Ferraz De Vasconcelos,3515707,35,terça-feira ,2020-03-17
Itapecerica Da Serra,3522208,44,terça-feira ,2020-03-17
Campinas,3509502,38,terça-feira ,2020-03-17
Monte Alto,3531308,44,terça-feira ,2020-03-17
Marília,3529005,36,terça-feira ,2020-03-17
Mongaguá,3531100,46,terça-feira ,2020-03-17
Taquaritinga,3553708,47,terça-feira ,2020-03-17
Lençóis Paulista,3526803,36,terça-feira ,2020-03-17
Jundiaí,3525904,35,terça-feira ,2020-03-17
São José Dos Campos,3549904,40,terça-feira ,2020-03-17
Santa Isabel,3546801,39,terça-feira ,2020-03-17
Piracicaba,3538709,36,terça-feira ,2020-03-17
Franco Da Rocha,3516408,40,terça-feira ,2020-03-17
Penápolis,3537305,44,terça-feira ,2020-03-17
Cubatão,3513504,37,terça-feira ,2020-03-17
Ubatuba,3555406,54,terça-feira ,2020-03-17
Tupã,3555000,41,terça-feira ,2020-03-17
Itupeva,3524006,38,terça-feira ,2020-03-17
Mogi Mirim,3530805,45,terça-feira ,2020-03-17
Francisco Morato,3516309,39,terça-feira ,2020-03-17
Indaiatuba,3520509,41,terça-feira ,2020-03-17
Pindamonhangaba,3538006,48,terça-feira ,2020-03-17
Hortolândia,3519071,40,terça-feira ,2020-03-17
São Bernardo Do Campo,3548708,37,terça-feira ,2020-03-17
Andradina,3502101,43,terça-feira ,2020-03-17
Jaguariúna,3524709,42,terça-feira ,2020-03-17
Bertioga,3506359,46,terça-feira ,2020-03-17
Campos Do Jordão,3509700,43,terça-feira ,2020-03-17
Leme,3526704,48,terça-feira ,2020-03-17
Osasco,3534401,37,terça-feira ,2020-03-17
Mococa,3530508,50,terça-feira ,2020-03-17
Sumaré,3552403,37,terça-feira ,2020-03-17
Itaquaquecetuba,3523107,43,terça-feira ,2020-03-17
Votuporanga,3557105,48,terça-feira ,2020-03-17
Salto,3545209,39,terça-feira ,2020-03-17
Embu-Guaçu,3515103,40,terça-feira ,2020-03-17
Taboão Da Serra,3552809,38,terça-feira ,2020-03-17
Várzea Paulista,3556503,37,terça-feira ,2020-03-17
Taubaté,3554102,43,terça-feira ,2020-03-17
Caçapava,3508504,48,terça-feira ,2020-03-17
Matão,3529302,41,terça-feira ,2020-03-17
Itapira,3522604,44,terça-feira ,2020-03-17
Tatuí,3554003,41,terça-feira ,2020-03-17
Sertãozinho,3551702,44,terça-feira ,2020-03-17
Lorena,3527207,53,terça-feira ,2020-03-17
Arujá,3503901,40,terça-feira ,2020-03-17
Birigui,3506508,43,terça-feira ,2020-03-17
Amparo,3501905,45,terça-feira ,2020-03-17
São Caetano Do Sul,3548807,38,terça-feira ,2020-03-17
Rio Grande Da Serra,3544103,45,terça-feira ,2020-03-17
Pirassununga,3539301,49,terça-feira ,2020-03-17
São Paulo,3550308,38,terça-feira ,2020-03-17
Bebedouro,3506102,51,terça-feira ,2020-03-17
Guarulhos,3518800,38,terça-feira ,2020-03-17
Artur Nogueira,3503802,44,terça-feira ,2020-03-17
Avaré,3504503,42,terça-feira ,2020-03-17
Santo André,3547809,37,terça-feira ,2020-03-17
Jaú,3525300,41,terça-feira ,2020-03-17
Araras,3503307,42,terça-feira ,2020-03-17
São Carlos,3548906,41,terça-feira ,2020-03-17
Franca,3516200,36,terça-feira ,2020-03-17
Vargem Grande Paulista,3556453,40,terça-feira ,2020-03-17
Americana,3501608,39,terça-feira ,2020-03-17
Suzano,3552502,42,terça-feira ,2020-03-17
Paulínia,3536505,41,terça-feira ,2020-03-17
Cruzeiro,3513405,54,terça-feira ,2020-03-17
Poá,3539806,42,terça-feira ,2020-03-17
Santa Bárbara D'Oeste,3545803,36,terça-feira ,2020-03-17
Nova Odessa,3533403,35,terça-feira ,2020-03-17
Capivari,3510401,45,terça-feira ,2020-03-17
Ribeirão Preto,3543402,34,terça-feira ,2020-03-17
São José Do Rio Pardo,3549706,47,terça-feira ,2020-03-17
Itapevi,3522505,39,terça-feira ,2020-03-17
Cajamar,3509205,45,terça-feira ,2020-03-17
Catanduva,3511102,37,terça-feira ,2020-03-17
Itanhaém,3522109,50,terça-feira ,2020-03-17
Jaboticabal,3524303,41,terça-feira ,2020-03-17
Ibitinga,3519600,48,terça-feira ,2020-03-17
Bragança Paulista,3507605,38,terça-feira ,2020-03-17
Embu Das Artes,3515004,41,terça-feira ,2020-03-17
Porto Ferreira,3540705,49,terça-feira ,2020-03-17
Monte Mor,3531803,45,terça-feira ,2020-03-17
Botucatu,3507506,39,terça-feira ,2020-03-17
Votorantim,3557006,41,terça-feira ,2020-03-17
Araçatuba,3502804,36,terça-feira ,2020-03-17
São Sebastião,3550704,55,terça-feira ,2020-03-17
Caieiras,3509007,40,terça-feira ,2020-03-17
Mairiporã,3528502,47,terça-feira ,2020-03-17
Valinhos,3556206,40,terça-feira ,2020-03-17
Guaratinguetá,3518404,45,terça-feira ,2020-03-17
Batatais,3505906,45,terça-feira ,2020-03-17
Jacareí,3524402,41,terça-feira ,2020-03-17
Atibaia,3504107,41,terça-feira ,2020-03-17
Diadema,3513801,39,terça-feira ,2020-03-17
Mogi Guaçu,3530706,43,terça-feira ,2020-03-17
Itu,3523909,39,terça-feira ,2020-03-17
Guarujá,3518701,43,terça-feira ,2020-03-17
