Data,Departamento Regional de Saúde,mm7d da Ocupação dos leitos de UTI e Enfermaria (%),Nº de novas internações nos últimos 7 dias,Pacientes em tratamento na UTI,Total de leitos de UTI destinados à Covid,Ocupação dos leitos de UTI e Enfermaria (%),Novos casos de internações (UTI e Enfermaria),Pacientes em tratamento na Enfermaria,Total de leitos de Enfermaria destinados à Covid
2020-05-19,Município de São Paulo,79.1,5049,2402,2990,80.3,608,3498,5010
2020-05-19,Estado de São Paulo,66.1,10636,4428,6534,67.8,1328,6795,13337
2020-05-19,DRS 17 Taubaté,40.6,311,87,211,41.2,46,154,568
2020-05-19,DRS 16 Sorocaba,47.8,241,94,163,57.7,14,136,448
2020-05-19,DRS 15 São José do Rio Preto,20.8,178,35,195,18.0,27,99,327
2020-05-19,DRS 14 São João da Boa Vista,17.7,74,13,78,16.7,4,56,309
2020-05-19,DRS 13 Ribeirão Preto,37.4,173,41,115,35.6,15,53,296
2020-05-19,DRS 11 Presidente Prudente,51.4,88,21,42,50.0,12,49,211
2020-05-19,DRS 10 Piracicaba,41.0,135,45,111,40.5,10,57,215
2020-05-19,DRS 09 Marília,23.4,67,18,106,17.0,9,42,321
2020-05-19,DRS 08 Franca,35.4,35,8,31,25.8,6,9,87
2020-05-19,DRS 12 Registro,20.1,19,8,22,36.4,5,8,52
2020-05-19,DRS 06 Bauru,51.2,268,62,120,51.7,28,129,487
2020-05-19,DRS 07 Campinas,49.8,656,313,567,55.2,103,338,974
2020-05-19,Grande SP Norte,84.0,120,55,63,87.3,13,99,160
2020-05-19,Grande SP Oeste,88.2,535,193,212,91.0,61,355,532
2020-05-19,Grande SP Sudeste,76.0,970,428,581,73.7,132,595,1181
2020-05-19,Grande SP Sudoeste,62.7,339,63,101,62.4,44,217,369
2020-05-19,Grande SP Leste,77.2,596,286,361,79.2,71,433,562
2020-05-19,DRS 03 Araraquara,16.8,160,17,85,20.0,15,47,260
2020-05-19,DRS 04 Baixada Santista,73.4,487,212,279,76.0,88,368,613
2020-05-19,DRS 05 Barretos,19.5,91,15,52,28.8,11,29,121
2020-05-19,DRS 02 Araçatuba,27.2,44,12,49,24.5,6,24,234
2020-05-20,DRS 09 Marília,20.6,66,13,104,12.5,9,40,321
