Município,1ª Dose,2ª Dose,3ª Dose,Dose Única,Doses Distribuídas
Adamantina,29629,27296,4283,878,59983
Adolfo,3773,3644,660,77,6912
Aguaí,27568,25122,2923,1043,60617
Agudos,32451,27949,3288,873,67284
Alambari,4689,4234,408,171,9337
Alfredo Marcondes,3892,3785,711,83,7203
Altair,2901,2754,393,115,6817
Altinópolis,13764,13153,2125,384,29531
Alto Alegre,3377,3196,570,100,7398
Alumínio,14048,12919,1179,508,29349
Alvinlândia,2505,2396,251,68,5326
Americana,192315,166541,19295,6210,396279
Amparo,60444,53955,7398,1757,122763
Américo Brasiliense,28418,24921,3520,1087,67474
Américo De Campos,4863,4728,718,125,10281
Analândia,3735,3296,392,120,7501
Andradina,47607,42554,5352,1294,97029
Angatuba,19373,16727,1490,477,37198
Anhembi,5191,4601,529,148,10852
Anhumas,3273,3175,347,83,7037
Aparecida,27931,24302,2524,926,57529
Aparecida D'Oeste,3768,3682,674,78,7560
Apiaí,19730,17700,1653,515,40037
Aramina,4440,4217,505,134,10117
Arandu,5336,4946,590,150,10604
Arapeí,2070,1982,315,59,4374
Araraquara,199343,176562,22840,6067,399455
Araras,108618,99840,9615,3812,207021
Araçariguama,17632,14730,1027,587,34485
Araçatuba,163169,141628,19877,4809,335867
Araçoiaba Da Serra,26635,23486,2600,816,53690
Arco-Íris,1699,1660,355,30,3357
Arealva,6995,6577,975,194,14468
Areias,3126,2880,359,71,6258
Areiópolis,7873,6991,614,311,17614
Ariranha,6690,6483,1074,258,15400
Artur Nogueira,42455,37563,3331,1510,86995
Arujá,69875,62029,5066,2310,151384
Aspásia,1624,1557,315,15,3139
Assis,82847,73741,10546,2146,171078
Atibaia,125081,107771,12440,3532,249431
Auriflama,11189,10520,1549,351,25348
Avanhandava,9742,8935,801,225,20376
Avaré,76641,67247,8972,2118,154619
Avaí,4275,4049,535,40,8723
Bady Bassitt,16907,15429,1490,400,35286
Balbinos,4562,4407,333,52,11574
Bananal,8602,7326,967,262,18661
Barbosa,5274,4646,626,115,10942
Bariri,25735,22746,3196,829,54026
Barra Bonita,29288,28498,4083,980,60408
Barra Do Chapéu,4414,4124,371,115,9345
Barra Do Turvo,6288,5109,683,96,13786
Barretos,103564,93602,13564,2712,213966
Barrinha,24600,20979,1475,879,52303
Barueri,228816,199159,15702,6252,462093
Barão De Antonina,2991,2808,429,45,5862
Bastos,18431,17003,2163,477,34924
Batatais,49944,46229,6653,1414,109070
Bauru,309907,270299,36433,8516,631101
Bebedouro,63675,57898,8067,1639,138090
Bento De Abreu,2097,2028,317,72,4582
Bernardino De Campos,10384,9802,1441,204,19770
Bertioga,54878,44330,5042,1817,103949
Bilac,6250,5982,1004,198,13425
Birigui,95636,84135,9768,3517,201836
Biritiba Mirim,24228,21167,1935,858,54164
Boa Esperança Do Sul,10933,10029,1132,417,24601
Bocaina,9196,8945,1100,313,19320
Bofete,8881,7820,790,292,18524
Boituva,48102,42058,3754,1755,99056
Bom Jesus Dos Perdões,19799,17404,1161,710,42950
Bom Sucesso De Itararé,3046,2833,236,77,6162
Boracéia,3935,3520,502,103,8028
Borborema,12433,11958,1590,401,27706
Borebi,2136,1993,131,50,4712
Borá,836,773,115,10,1779
Botucatu,138039,128753,24550,0,200393
Bragança Paulista,149719,132688,17963,4657,284619
Braúna,4449,4071,586,139,10207
Brejo Alegre,2166,1998,316,72,4953
Brodowski,20286,17969,2175,654,42415
Brotas,19870,18176,1849,609,39643
Buri,16309,13723,1092,472,31883
Buritama,14075,13098,2105,442,27929
Buritizal,3552,3078,406,97,7530
Bálsamo,7498,7356,1081,200,15436
Cabreúva,41816,37518,2032,1438,80065
Cabrália Paulista,3578,3365,411,102,8380
Cachoeira Paulista,24822,21287,2624,855,61418
Caconde,15380,13688,1640,402,32513
Cafelândia,13621,12053,1478,414,28158
Caiabu,3136,2912,301,58,6784
Caieiras,75897,67749,6846,2829,166411
Caiuá,6444,5827,483,62,10648
Cajamar,73012,66432,4237,2333,138925
Cajati,23796,21054,1949,704,51055
Cajobi,7871,7462,1007,272,18020
Cajuru,19927,17355,2498,572,42672
Campina Do Monte Alegre,5217,4878,447,128,10502
Campinas,957871,845612,107264,31733,2044924
Campo Limpo Paulista,63547,54600,4887,2256,137191
Campos Do Jordão,42252,39516,3871,1306,89254
Campos Novos Paulista,3936,3667,482,110,7902
Cananéia,10581,9502,990,251,22034
Canas,3691,3490,310,130,8655
Canitar,4180,3732,347,141,7965
Capela Do Alto,19558,16934,953,560,35042
Capivari,41887,37596,3666,1467,88359
Capão Bonito,37846,33750,3453,1042,75113
Caraguatatuba,102987,85784,8963,2876,208611
Carapicuíba,321975,265416,20657,10612,637853
Cardoso,10062,9344,1496,267,22609
Casa Branca,23762,19603,2008,769,52531
Castilho,16199,14590,2004,547,32178
Catanduva,97709,88369,13711,2860,210034
Catiguá,6129,5667,829,188,11572
Caçapava,75964,68016,7062,2410,161876
Cedral,8689,7691,1137,215,16041
Cerqueira César,18935,17595,1762,400,35406
Cerquilho,38182,35954,3688,1340,76708
Cesário Lange,15179,13352,1112,500,29772
Charqueada,13408,12025,1280,515,28086
Chavantes,9866,9094,1051,315,19403
Clementina,5878,5593,737,265,11915
Colina,14882,12940,1494,464,30281
Colômbia,5485,5136,601,160,11096
Conchal,23341,20628,1867,722,46127
Conchas,13809,11820,1462,378,28077
Cordeirópolis,20162,18176,2569,670,42695
Coroados,4485,4120,633,147,9430
Coronel Macedo,3893,3785,603,103,7823
Corumbataí,3273,3052,390,88,6758
Cosmorama,7150,6704,1039,175,14491
Cosmópolis,46639,40025,3294,2059,122204
Cotia,193806,164425,14576,6021,405603
Cravinhos,28986,24680,2334,961,59576
Cristais Paulista,7261,6393,728,215,16470
Cruzeiro,64206,55931,5905,2052,134836
Cruzália,1808,1778,268,32,3658
Cubatão,89731,75689,9621,3243,200918
Cunha,18184,16590,1767,480,38698
Cássia Dos Coqueiros,2333,2209,327,52,8068
Cândido Mota,24296,22555,2852,644,50224
Cândido Rodrigues,2498,2420,427,56,5120
Descalvado,27539,25768,4262,872,52522
Diadema,332795,284074,23639,10658,665253
Dirce Reis,1463,1454,272,18,3059
Divinolândia,10238,9633,1537,227,19514
Dobrada,6877,5872,439,296,14161
Dois Córregos,20437,18594,2194,682,42279
Dolcinópolis,2043,1980,347,54,4021
Dourado,7399,6987,940,215,14820
Dracena,38257,35192,4973,848,77293
Duartina,10635,10196,1650,292,19835
Dumont,8351,7350,689,288,15516
Echaporã,5329,4767,825,126,11284
Eldorado,11113,9208,956,174,23746
Elias Fausto,14264,13191,1335,540,30349
Elisiário,2647,2598,413,100,6389
Embaúba,1888,1818,278,60,4202
Embu Das Artes,205065,175637,23482,7201,413837
Embu-Guaçu,52269,46017,5085,1431,118333
Emilianópolis,2590,2526,443,70,5226
Engenheiro Coelho,16419,13942,974,632,31808
Espírito Santo Do Pinhal,35298,30953,5137,1006,76872
Espírito Santo Do Turvo,4066,3577,337,105,8190
Estiva Gerbi,8899,7242,617,320,18270
Estrela D'Oeste,7366,6862,1086,207,14488
Estrela Do Norte,2276,2201,284,48,4301
Euclides Da Cunha Paulista,6440,5625,688,202,16845
Fartura,13379,11967,1518,370,28418
Fernando Prestes,4969,4885,964,125,10482
Fernandópolis,59797,54986,9166,1481,118694
Fernão,1448,1407,241,30,2946
Ferraz De Vasconcelos,131714,109973,10189,5248,310435
Flora Rica,1319,1292,309,19,2516
Floreal,2502,2434,564,50,5492
Florínea,4002,3763,388,28,6503
Flórida Paulista,10225,9826,1407,279,21999
Franca,284027,242217,24514,8451,577468
Francisco Morato,136547,112194,7513,4482,274292
Franco Da Rocha,123355,103499,9234,7035,248321
Gabriel Monteiro,2326,2277,351,62,4767
Garça,35145,31528,4006,991,76500
Gastão Vidigal,2891,2770,486,151,7343
Gavião Peixoto,3947,3664,403,127,7860
General Salgado,8695,8026,1355,236,17276
Getulina,9012,8256,1003,255,18216
Glicério,3611,3335,437,125,7887
Guaimbê,4426,4163,576,130,10474
Guaiçara,9285,8252,863,317,18731
Guapiara,14488,12627,1248,394,29089
Guapiaçu,17666,15130,1651,555,36638
Guaraci,8452,7906,1077,317,18766
Guarani D'Oeste,1733,1678,297,30,3706
Guarantã,5096,4646,666,182,11141
Guararapes,25623,23959,3235,825,53737
Guararema,26522,23699,2195,848,51324
Guaratinguetá,96454,85500,9331,3083,198301
Guaraçaí,6489,6244,1029,194,13966
Guareí,13336,12113,1007,432,30012
Guariba,30859,28717,2132,1158,63831
Guarujá,249829,193526,28604,8360,503179
Guarulhos,1053527,893125,83329,37391,2186223
Guará,15736,14596,2125,507,33743
Guatapará,6146,5855,670,210,12965
Guaíra,32846,30465,3641,1028,66473
Guzolândia,3772,3581,505,115,7697
Gália,5535,5348,992,134,11098
Herculândia,7108,6146,711,226,14831
Holambra,13417,12021,1074,413,29322
Hortolândia,184475,160346,12152,6738,377580
Iacanga,9031,8782,1379,362,18608
Iacri,5259,4930,710,143,10971
Iaras,7429,7002,527,191,17628
Ibaté,27024,23909,2112,1020,59231
Ibirarema,5450,5206,848,159,12367
Ibirá,9916,8916,1289,341,22766
Ibitinga,48455,42433,5520,1663,99417
Ibiúna,64697,52292,3440,2088,135893
Icém,6402,6150,786,233,13949
Iepê,6469,6325,1014,184,13102
Igarapava,21957,19765,2141,771,45539
Igaratá,8965,8164,800,215,17287
Igaraçu Do Tietê,18967,17446,1660,694,39630
Iguape,24201,21212,2787,600,49807
Ilha Comprida,11018,9616,991,195,22084
Ilha Solteira,22018,20597,3174,502,43202
Ilhabela,32165,29813,2883,861,65652
Indaiatuba,212836,203327,21216,6873,414550
Indiana,3999,3680,482,112,8009
Indiaporã,3447,3247,602,82,7087
Inúbia Paulista,3066,3016,496,90,6476
Ipaussu,11163,10449,1452,367,23539
Iperó,26380,23194,1655,980,64779
Ipeúna,5367,4603,466,179,12433
Ipiguá,4774,4256,536,120,10901
Iporanga,3229,3051,394,31,6645
Ipuã,12227,11068,1327,444,25041
Iracemápolis,18111,16592,1393,696,40984
Irapuru,6826,6361,796,79,12710
Irapuã,5814,5199,661,209,12482
Itaberá,15083,14623,1838,363,28904
Itajobi,13721,12978,1875,360,26992
Itaju,2897,2629,351,97,5765
Itanhaém,92809,78919,10413,2132,178187
Itaoca,2891,2776,452,49,6064
Itapecerica Da Serra,128256,109448,8357,4149,325685
Itapetininga,130740,114994,14077,2950,248692
Itapeva,75945,70404,7356,2041,152706
Itapevi,190414,142274,8512,6643,382080
Itapira,61449,57151,7700,1840,125596
Itapirapuã Paulista,3539,3465,321,85,7261
Itaporanga,11957,11096,1345,315,25047
Itapura,3398,3151,474,75,7978
Itapuí,10903,9533,918,360,21585
Itaquaquecetuba,276504,216885,14240,9786,577926
Itararé,37059,35406,3784,1115,77014
Itariri,11726,10243,1158,402,26351
Itatiba,96789,85002,9684,3344,194608
Itatinga,15631,14581,1132,528,33851
Itaí,21802,20142,1830,689,42215
Itirapina,14508,13174,1054,406,33580
Itirapuã,4975,4523,555,164,11145
Itobi,6394,5198,569,204,15381
Itu,146479,129087,14372,5154,291466
Itupeva,52714,47116,2689,1902,104280
Ituverava,31563,29082,4657,1075,71530
Itápolis,33316,29854,3934,1041,64878
Jaborandi,5150,4936,607,163,10805
Jaboticabal,61126,55004,7103,1766,135124
Jacareí,181999,144864,14160,5638,381774
Jaci,6265,6129,821,187,13134
Jacupiranga,12990,10982,1244,379,29097
Jaguariúna,48614,43379,3746,1658,92986
Jales,41333,36918,5672,946,83625
Jambeiro,4750,4530,524,185,10628
Jandira,92555,74990,5194,3363,201892
Jardinópolis,36281,30358,2977,1174,72005
Jarinu,27859,22764,1762,873,55331
Jaú,111131,97926,12966,3649,239358
Jeriquara,2921,2643,269,71,5433
Joanópolis,11303,9918,1332,391,22456
José Bonifácio,29734,27509,3381,1013,61102
João Ramalho,3490,3285,376,119,7235
Jumirim,2872,2599,246,98,5502
Jundiaí,351747,318301,38959,11231,697487
Junqueirópolis,17153,16284,2077,409,36509
Juquitiba,25936,22192,2076,711,52853
Juquiá,14509,12206,1538,395,29720
Júlio Mesquita,3644,3435,452,118,7760
Lagoinha,4640,4480,727,88,9720
Laranjal Paulista,23777,20527,2438,636,46750
Lavrinhas,5054,4366,356,185,11884
Lavínia,10122,9847,581,117,20213
Leme,80949,71488,7807,2689,162266
Lençóis Paulista,55999,47743,4687,1865,116639
Limeira,242566,202185,20932,8502,458487
Lindóia,5921,5506,664,224,14746
Lins,61921,54267,8790,1743,127707
Lorena,69090,59268,6664,2039,144639
Lourdes,1873,1833,356,47,4011
Louveira,40493,36784,2674,1634,79425
Lucianópolis,2151,2040,302,44,4500
Lucélia,17105,16178,2068,583,37545
Luiziânia,4094,3790,446,121,9671
Lupércio,3454,3214,388,107,7347
