DRS Nome;Municipio;Nome Fantasia;Leitos Ocupados / Enfermaria;Leitos Ocupados / UTI
Araçatuba;ARAÇATUBA;HOSPITAL MUNICIPAL DA MULHER DR JOAO LUIS J ROSSETO;2;0
Araçatuba;MIRANDÓPOLIS;UNID INT SAUDE DR OSWALDO B FARIA DE MIRANDOPOLIS;2;0
Araraquara;AMÉRICO BRASILIENSE;HOSPITAL ESTADUAL AMÉRICO BRASILIENSE;1;1
Araraquara;ARARAQUARA;HOSPITAL DE CAMPANHA COVID 19 ARARAQUARA;4;0
Araraquara;ARARAQUARA;UNIDADE DE RETAGUARDA DE URGENCIA E DIAGNOSTICO DO MELHADO;9;0
Araraquara;ARARAQUARA;UPA DR ANTONIO ALONSO MARTINEZ VILA XAVIER;5;0
Araraquara;SÃO CARLOS;HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE FEDERAL DE SÃO CARLOS - HU-UFSCAR;6;4
Baixada Santista;BERTIOGA;HOSPITAL MUNICIPAL DE BERTIOGA;2;1
Baixada Santista;GUARUJÁ;INST DE INFECT EMILIO RIBAS II BAIXADA SANTISTA;0;2
Baixada Santista;ITANHAEM;HOSPITAL REGIONAL JORGE ROSSMANN;1;0
Baixada Santista;PRAIA GRANDE;COMPLEXO HOSPITALAR IRMA DULCE O S S;3;6
Baixada Santista;PRAIA GRANDE;HOSPITAL DE CAMPANHA COVID 19 FALCAO;1;0
Baixada Santista;SANTOS;COMPLEXO HOSPITALAR DOS ESTIVADORES;2;7
Baixada Santista;SANTOS;HOSPITAL DE CAMPANHA COVID 19 HOSPITAL VITORIA;5;7
Baixada Santista;SANTOS;HOSPITAL GUILHERME ÁLVARO;0;10
Baixada Santista;SANTOS;SECAO PRONTO SOCORRO CENTRAL SEPROS C;1;3
Baixada Santista;SÃO VICENTE;HOSPITAL MUNICIPAL DE SAO VICENTE - HOSPITAL GERAL;1;2
Barretos;BEBEDOURO;HOSPITAL DE CAMPANHA COVID 19 BEBEDOURO;1;2
Barretos;BEBEDOURO;HOSPITAL MUNICIPAL DE BEBEDOURO JULIA PINTO CALDEIRA;1;0
Bauru;BAURU;HOSPITAL ESTADUAL BAURU;2;0
Bauru;BAURU;POSTO AVANCADO COVID 19;3;0
Bauru;BAURU;SECRETARIA DE ESTADO DA SAUDE;4;4
Bauru;BOTUCATU;HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU;5;24
Campinas;AMERICANA;HOSPITAL MUNICIPAL DR WALDEMAR TEBALDI;6;5
Campinas;CAMPINAS;COMPLEXO HOSPITALAR PREF. EDIVALDO ORSI (HOSPITAL GERAL);17;21
Campinas;CAMPINAS;HOSPITAL DE CAMPANHA COVID 19 ANCHIETA;23;0
Campinas;CAMPINAS;HOSPITAL DE CAMPANHA COVID 19 CARLOS LOURENCO;2;0
Campinas;CAMPINAS;HOSPITAL DE CLINICAS UNICAMP;24;11
Campinas;CAMPINAS;HOSPITAL MUNICIPAL DR MARIO GATTI;9;9
Campinas;HORTOLÂNDIA;HOSPITAL E MATERNIDADE MUNICIPAL GOVERNADOR MÁRIO COVAS;1;1
Campinas;ITUPEVA;HOSPITAL NOSSA SENHORA APARECIDA;1;0
Campinas;JAGUARIUNA;HOSPITAL MUNICIPAL WALTER FERRARI;5;4
Campinas;JUNDIAÍ;OS IRSSL UNIDADE HOSP. REGIONAL JUNDIAI;1;0
Campinas;NOVA ODESSA;HOSPITAL DE CAMPANHA COVID 19;4;0
Campinas;PAULINIA;HOSPITAL GERAL;1;1
Campinas;SANTA BARBARA D´OESTE;HOSPITAL DE CAMPANHA COVID 19;4;0
Campinas;SUMARÉ;HOSPITAL DE CAMPANHA COVID 19;4;0
Campinas;SUMARÉ;HOSPITAL ESTADUAL SUMARE;3;2
Campinas;SUMARÉ;UNIDADE DE PRONTO ATENDIMENTO MACARENKO UPA 24H;3;0
Campinas;VÁRZEA PAULISTA;HOSPITAL MUNICIPAL DR ALCIPIO DA SILVA OLIVEIRA JUNIOR;1;0
Grande São Paulo;ARUJÁ;PAM POSTO DE ATENDIMENTO MEDICO BARRETO COVID 19;0;6
Grande São Paulo;BARUERÍ;HOSPITAL DE CAMPANHA COVID 19 JARDIM PAULISTA;1;0
Grande São Paulo;BARUERÍ;HOSPITAL MUNICIPAL DE BARUERI - DR.FRANCISCO MORAN;6;5
Grande São Paulo;CARAPICUIBA;CENTRO DE COMBATE COVID 19 POLICLINICA;2;0
Grande São Paulo;CARAPICUIBA;HOSPITAL GERAL DE CARAPICUIBA;2;0
Grande São Paulo;COTIA;HOSPITAL REGIONAL DE COTIA;13;19
Grande São Paulo;DIADEMA;HOSPITAL ESTADUAL DE DIADEMA;2;3
Grande São Paulo;DIADEMA;HOSPITAL MUNICIPAL DE DIADEMA;7;6
Grande São Paulo;DIADEMA;PRONTO SOCORRO CENTRAL DE DIADEMA;10;0
Grande São Paulo;EMBU DAS ARTES;HOSPITAL DE CAMPANHA COVID 19 EMBU DAS ARTES;10;0
Grande São Paulo;EMBU DAS ARTES;HOSPITAL LEITO IRMA ANETTE MARLENE FERNANDES MELLO;5;3
Grande São Paulo;EMBU-GUAÇU;UNIDADE MISTA DE SAÚDE DE EMBU GUAÇU;2;0
Grande São Paulo;FERRAZ DE VASCONCELOS;HOSPITAL REGIONAL DE FERRAZ DE VASCONCELOS OSIRIS FLORINDO;2;0
Grande São Paulo;FRANCISCO MORATO;HOSPITAL ESTADUAL PROF CARLOS DA SILVA LACAZ FCO MORATO;0;18
Grande São Paulo;FRANCO DA ROCHA;HCTP II;1;0
Grande São Paulo;FRANCO DA ROCHA;HOSPITAL ESTADUAL DR ALBANO DA FRANCA ROCHA SOBRINHO;0;8
Grande São Paulo;GUARULHOS;HOSP MUNICIPAL DE URGENCIAS HMU;16;5
Grande São Paulo;GUARULHOS;HOSPIT GERAL PROF DR WALDEMAR DE CARVALHO PINTO FILHO;11;13
Grande São Paulo;GUARULHOS;HOSPITAL MUNICIPAL DA CRIANCA E DO ADOLESCENTE HMCA;9;1
Grande São Paulo;GUARULHOS;HOSPITAL MUNICIPAL PIMENTAS BONSUCESSO MANUEL DE PAIVA;4;1
Grande São Paulo;ITAPECERICA DA SERRA;HOSPITAL GERAL DE ITAPECERICA DA SERRA;5;0
Grande São Paulo;ITAPEVÍ;HOSPITAL GERAL DE ITAPEVI;2;3
Grande São Paulo;ITAQUAQUECETUBA;HOSPITAL GERAL DE ITAQUÁQUECETUBA;2;0
Grande São Paulo;ITAQUAQUECETUBA;UPA SADAKO SEDOGUTI;5;0
Grande São Paulo;JUQUITIBA;UMS DE JUQUITIBA;3;0
Grande São Paulo;MAIRIPORA;HOSPITAL DE CAMPANHA COVID 19 DE MAIRIPORA;1;4
Grande São Paulo;MAUÁ;HOSPITAL DE CLÍNICAS DR. RADAMÉS NARDINI;4;0
Grande São Paulo;MOGÍ DAS CRUZES;CENTRO ESP EM REABILITACAO DR ARNALDO PEZZUTI CAVALCANTI;14;14
Grande São Paulo;MOGÍ DAS CRUZES;HOSPITAL DAS CLINICAS LUZIA DE PINHO MELLO;0;3
Grande São Paulo;MOGÍ DAS CRUZES;HOSPITAL MUNICIPAL DE MOGI DAS CRUZES;23;31
Grande São Paulo;OSASCO;HOSPITAL MUNICIPAL ANTONIO GIGLIO;3;3
Grande São Paulo;OSASCO;HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO;19;18
Grande São Paulo;SANTA ISABEL;UNIDADE DE PRONTO ATENDIMENTO UPA I SANTA ISABEL;4;0
Grande São Paulo;SANTO ANDRÉ;CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO;28;18
Grande São Paulo;SANTO ANDRÉ;HOSPITAL DA MULHER MARIA JOSE DOS SANTOS STEIN;1;0
