Municipio;Classificação de % em relação a população geral;% em relação a população geral;% em relação a população geral;População Município;Total Doses Aplicadas
FLORÍNEA;1;150,075386355;150,075386355;2653;3981,5
NOVA INDEPENDÊNCIA;2;112,780656304;112,780656304;4053;4571
CAIUÁ;3;107,769929364;107,769929364;5946;6408
ADOLFO;4;105,261676984;105,261676984;3554;3741
PRESIDENTE BERNARDES;5;104,342317438;104,342317438;13023;13588,5
ÁLVARO DE CARVALHO;6;103,194918468;103,194918468;5274;5442,5
URU;7;101,994796184;101,994796184;1153;1176
TURMALINA;8;101,827830189;101,827830189;1696;1727
TAIÚVA;9;100,745866283;100,745866283;5564;5605,5
BORÁ;10;100,536992840;100,536992840;838;842,5
ÁGUAS DE SÃO PEDRO;11;98,281738143;98,281738143;3521;3460,5
TORRE DE PEDRA;12;98,203963666;98,203963666;2422;2378,5
PARISI;13;97,602581835;97,602581835;2169;2117
PACAEMBU;14;97,314730421;97,314730421;14263;13880
ARCO-ÍRIS;15;96,841511562;96,841511562;1773;1717
PEDRANÓPOLIS;16;96,412736800;96,412736800;2481;2392
COSMORAMA;17;96,033159770;96,033159770;7298;7008,5
ILHA COMPRIDA;18;95,792994191;95,792994191;11362;10884
DOLCINÓPOLIS;19;95,785984848;95,785984848;2112;2023
RIFAINA;20;94,917582418;94,917582418;3640;3455
LAGOINHA;21;94,906933933;94,906933933;4889;4640
SANTA CLARA D'OESTE;22;94,462849030;94,462849030;2113;1996
CERQUEIRA CÉSAR;23;93,997325541;93,997325541;20191;18979
ÓLEO;24;93,646297046;93,646297046;2471;2314
RUBINÉIA;25;93,580441640;93,580441640;3170;2966,5
CAPELA DO ALTO;26;93,538241601;93,538241601;20985;19629
MAIRINQUE;27;93,466621699;93,466621699;47441;44341,5
BERNARDINO DE CAMPOS;28;93,448646711;93,448646711;11158;10427
NOVA CANAÃ PAULISTA;29;93,358531317;93,358531317;1852;1729
CÁSSIA DOS COQUEIROS;30;93,173652695;93,173652695;2505;2334
SANTA RITA D'OESTE;31;93,084036992;93,084036992;2487;2315
TRÊS FRONTEIRAS;32;93,064128944;93,064128944;5832;5427,5
ALFREDO MARCONDES;33;93,021032505;93,021032505;4184;3892
MENDONÇA;34;92,704402516;92,704402516;5565;5159
DIVINOLÂNDIA;35;92,693487281;92,693487281;11086;10276
SANTA SALETE;36;92,525773196;92,525773196;1552;1436
CAJAMAR;37;92,517386507;92,517386507;77934;72102,5
ÁLVARES FLORENCE;38;92,404716205;92,404716205;3647;3370
FLORA RICA;39;92,307692308;92,307692308;1430;1320
BOTUCATU;40;92,304057247;92,304057247;148130;136730
TAQUARITUBA;41;91,989164087;91,989164087;23256;21393
SANTA FÉ DO SUL;42;91,769800080;91,769800080;32563;29883
MERIDIANO;43;91,710251046;91,710251046;3824;3507
MESÓPOLIS;44;91,679790026;91,679790026;1905;1746,5
TUPI PAULISTA;45;91,420137329;91,420137329;15583;14246
SANTANA DA PONTE PENSA;46;91,411042945;91,411042945;1467;1341
JERIQUARA;47;91,399555697;91,399555697;3151;2880
UBIRAJARA;48;91,049125729;91,049125729;4804;4374
APARECIDA D'OESTE;49;91,029341029;91,029341029;4158;3785
