Data;Total de casos;Casos por dia;Óbitos por dia;;;;;
26/fev/2020;1;1;;;;;;
27/fev/2020;0;0;;;;;;
28/fev/2020;0;0;;;;;;
29/fev/2020;2;1;;;;;;
01/mar/2020;0;0;;;;;;
02/mar/2020;0;0;;;;;;
03/mar/2020;0;0;;;;;;
04/mar/2020;3;1;;;;;;
05/mar/2020;6;3;;;;;;
06/mar/2020;10;4;;;;;;
07/mar/2020;13;3;;;;;;
08/mar/2020;16;3;;;;;;
09/mar/2020;16;0;;;;;;
10/mar/2020;19;3;;;;;;
11/mar/2020;30;11;;;;;;
12/mar/2020;46;16;;;;;;
13/mar/2020;56;10;;;;;;
14/mar/2020;65;9;;;;;;
15/mar/2020;136;71;;;;;;
16/mar/2020;152;16;;;;;;
17/mar/2020;164;12;1;;;;;
18/mar/2020;240;76;3;;;;;
19/mar/2020;286;46;1;;;;;
20/mar/2020;396;110;4;;;;;
21/mar/2020;459;63;6;;;;;
22/mar/2020;631;172;7;;;;;
23/mar/2020;745;114;8;;;;;
24/mar/2020;810;65;10;;;;;
25/mar/2020;862;52;8;;;;;
26/mar/2020;1052;190;10;;;;;
27/mar/2020;1223;171;10;;;;;
28/mar/2020;1406;183;16;;;;;
29/mar/2020;1451;45;14;;;;;
30/mar/2020;1517;66;15;;;;;
31/mar/2020;2339;822;23;;;;;
01/abr/2020;2981;642;28;;;;;
02/abr/2020;3506;525;44;;;;;
03/abr/2020;4048;542;11;;;;;
04/abr/2020;4466;418;41;;;;;
05/abr/2020;4620;154;15;;;;;
06/abr/2020;4861;241;29;;;;;
07/abr/2020;5682;821;67;;;;;
08/abr/2020;6708;1026;57;;;;;
09/abr/2020;7480;772;68;;;;;
10/abr/2020;8216;736;44;;;;;
11/abr/2020;8419;203;20;;;;;
12/abr/2020;8755;336;28;;;;;
13/abr/2020;8895;140;20;;;;;
14/abr/2020;9371;476;87;;;;;
15/abr/2020;11043;1672;83;;;;;
16/abr/2020;11568;525;75;;;;;
17/abr/2020;12841;1273;75;;;;;
18/abr/2020;13894;1053;63;;;;;
19/abr/2020;14267;373;24;;;;;
20/abr/2020;14580;313;22;;;;;
21/abr/2020;15385;805;56;;;;;
22/abr/2020;15914;529;41;;;;;
23/abr/2020;16740;826;211;;;;;
24/abr/2020;17826;1086;167;;;;;
25/abr/2020;20004;2178;155;;;;;
26/abr/2020;20715;711;33;;;;;
27/abr/2020;21696;981;125;;;;;
28/abr/2020;24041;2345;224;;;;;
29/abr/2020;26158;2117;198;;;;;
30/abr/2020;28698;2540;128;;;;;
01/mai/2020;30374;1676;136;;;;;
02/mai/2020;31174;800;75;;;;;
03/mai/2020;31772;598;41;;;;;
04/mai/2020;32187;415;27;;;;;
05/mai/2020;34053;1866;197;;;;;
06/mai/2020;37853;3800;194;;;;;
07/mai/2020;39928;2075;161;;;;;
08/mai/2020;41830;1902;210;;;;;
09/mai/2020;44411;2581;192;;;;;
10/mai/2020;45444;1033;101;;;;;
11/mai/2020;46131;687;34;;;;;
12/mai/2020;47719;1588;206;;;;;
13/mai/2020;51097;3378;169;;;;;
14/mai/2020;54286;3189;197;;;;;
15/mai/2020;58378;4092;186;;;;;
16/mai/2020;61183;2805;187;;;;;
17/mai/2020;62345;1162;94;;;;;
18/mai/2020;63066;721;41;;;;;
19/mai/2020;65995;2929;324;;;;;
20/mai/2020;69859;3864;216;;;;;
21/mai/2020;73739;3880;195;;;;;
22/mai/2020;76871;3132;215;;;;;
23/mai/2020;80558;3687;272;;;;;
24/mai/2020;82161;1603;118;;;;;
25/mai/2020;83625;1464;57;;;;;
26/mai/2020;86017;2392;203;;;;;
27/mai/2020;89483;3466;289;;;;;
28/mai/2020;95865;6382;268;;;;;
29/mai/2020;101556;5691;295;;;;;
30/mai/2020;107142;5586;257;;;;;
31/mai/2020;109698;2556;83;;;;;
01/jun/2020;111296;1598;52;;;;;
02/jun/2020;118295;6999;327;;;;;
03/jun/2020;123483;5188;282;;;;;
04/jun/2020;129200;5717;285;;;;;
05/jun/2020;134565;5365;281;;;;;
06/jun/2020;140549;5984;216;;;;;
07/jun/2020;143073;2524;87;;;;;
08/jun/2020;144593;1520;43;;;;;
09/jun/2020;150138;5545;334;;;;;
10/jun/2020;156316;6178;340;;;;;
11/jun/2020;162520;6204;283;;;;;
12/jun/2020;167900;5380;223;;;;;
13/jun/2020;172875;4975;213;;;;;
14/jun/2020;178202;5327;113;;;;;
15/jun/2020;181460;3258;73;;;;;
16/jun/2020;190285;8825;365;;;;;
17/jun/2020;191517;1232;389;;;;;
18/jun/2020;192628;1111;325;;;;;
19/jun/2020;211658;19030;386;;;;;
20/jun/2020;215793;4135;262;;;;;
21/jun/2020;219185;3392;94;;;;;
22/jun/2020;221973;2788;46;;;;;
23/jun/2020;229475;7502;434;;;;;
24/jun/2020;238822;9347;284;;;;;
25/jun/2020;248587;9765;407;;;;;
26/jun/2020;258508;9921;207;;;;;
27/jun/2020;265581;7073;297;;;;;
28/jun/2020;271737;6156;75;;;;;
29/jun/2020;275145;3408;60;;;;;
30/jun/2020;281380;6235;365;;;;;
01/jul/2020;289935;8555;267;;;;;
02/jul/2020;302179;12244;321;;;;;
03/jul/2020;310517;8338;343;;;;;
04/jul/2020;312530;2013;302;;;;;
05/jul/2020;320179;7649;82;;;;;
06/jul/2020;323070;2891;56;;;;;
07/jul/2020;332708;9638;341;;;;;
08/jul/2020;341365;8657;313;;;;;
09/jul/2020;349715;8350;330;;;;;
10/jul/2020;359110;9395;324;;;;;
11/jul/2020;366890;7780;260;;;;;
12/jul/2020;371997;5107;146;;;;;
13/jul/2020;374607;2610;59;;;;;
14/jul/2020;386607;12000;417;;;;;
15/jul/2020;393176;6569;316;;;;;
16/jul/2020;402048;8872;398;;;;;
17/jul/2020;407415;5367;339;;;;;
18/jul/2020;412027;4612;270;;;;;
19/jul/2020;415049;3022;85;;;;;
20/jul/2020;416434;1385;56;;;;;
21/jul/2020;422669;6235;383;;;;;
22/jul/2020;439446;16777;361;;;;;
23/jul/2020;452007;12561;362;;;;;
24/jul/2020;463218;11211;312;;;;;
25/jul/2020;479481;16263;311;;;;;
26/jul/2020;483982;4501;89;;;;;
27/jul/2020;487654;3672;70;;;;;
28/jul/2020;500301;12647;383;;;;;
29/jul/2020;514197;13896;330;;;;;
30/jul/2020;529006;14809;321;;;;;
31/jul/2020;542304;13298;287;;;;;
01/ago/2020;552318;10014;239;;;;;
02/ago/2020;558685;6367;81;;;;;
03/ago/2020;560218;1533;48;;;;;
04/ago/2020;575589;15371;337;;;;;
05/ago/2020;585265;9676;407;;;;;
06/ago/2020;598670;13405;339;;;;;
07/ago/2020;608379;9709;287;;;;;
08/ago/2020;621731;13352;281;;;;;
09/ago/2020;627126;5395;98;;;;;
10/ago/2020;628415;1289;37;;;;;
11/ago/2020;639562;11147;420;;;;;
12/ago/2020;655181;15619;298;;;;;
13/ago/2020;674455;19274;455;;;;;
14/ago/2020;686122;11667;289;;;;;
15/ago/2020;697530;11408;167;;;;;
16/ago/2020;699493;1963;72;;;;;
17/ago/2020;702665;3172;47;;;;;
18/ago/2020;711530;8865;416;;;;;
19/ago/2020;721377;9847;276;;;;;
20/ago/2020;730828;9451;314;;;;;
21/ago/2020;735960;5132;250;;;;;
22/ago/2020;749244;13284;237;;;;;
23/ago/2020;754129;4885;75;;;;;
24/ago/2020;756480;2351;38;;;;;
25/ago/2020;765670;9190;407;;;;;
26/ago/2020;776135;10465;282;;;;;
27/ago/2020;784453;8318;221;;;;;
28/ago/2020;796209;11756;279;;;;;
29/ago/2020;801422;5213;250;;;;;
30/ago/2020;803404;1982;34;;;;;
31/ago/2020;804342;938;36;;;;;
01/set/2020;814375;10033;361;;;;;
02/set/2020;826331;11956;298;;;;;
03/set/2020;837978;11647;232;;;;;
04/set/2020;845016;7038;186;;;;;
05/set/2020;853085;8069;222;;;;;
06/set/2020;855722;2637;40;;;;;
07/set/2020;857330;1608;24;;;;;
08/set/2020;858783;1453;53;;;;;
09/set/2020;866576;7793;391;;;;;
10/set/2020;874754;8178;283;;;;;
11/set/2020;882809;8055;234;;;;;
12/set/2020;890690;7881;229;;;;;
13/set/2020;892257;1567;39;;;;;
14/set/2020;893349;1092;36;;;;;
15/set/2020;901271;7922;321;;;;;
16/set/2020;909428;8157;290;;;;;
17/set/2020;916821;7393;219;;;;;
18/set/2020;924532;7711;206;;;;;
19/set/2020;931673;7141;249;;;;;
20/set/2020;935300;3627;25;;;;;
21/set/2020;937332;2032;32;;;;;
