codigo_ibge,municipio,latitude,longitude,mesorregiao,microrregiao
3500105,Adamantina,-21.6820,-51.0737,Presidente Prudente,Adamantina
3500204,Adolfo,-21.2325,-49.6451,São José do Rio Preto,São José do Rio Preto
3500303,Aguaí,-22.0572,-46.9735,Campinas,Pirassununga
3500402,Águas da Prata,-21.9319,-46.7176,Campinas,São João da Boa Vista
3500501,Águas de Lindóia,-22.4733,-46.6314,Campinas,Amparo
3500550,Águas de Santa Bárbara,-22.8812,-49.2421,Bauru,Avaré
3500600,Águas de São Pedro,-22.5977,-47.8734,Piracicaba,Piracicaba
3500709,Agudos,-22.4694,-48.9863,Bauru,Bauru
3500758,Alambari,-23.5503,-47.8980,Itapetininga ,Itapetininga
3500808,Alfredo Marcondes,-21.9527,-51.4140,Presidente Prudente,Presidente Prudente
3500907,Altair,-20.5242,-49.0571,São José do Rio Preto,São José do Rio Preto
3501004,Altinópolis,-21.0214,-47.3712,Ribeirão Preto,Batatais
3501103,Alto Alegre,-21.5811,-50.1680,Araçatuba,Birigui
3501152,Alumínio,-23.5306,-47.2546,Macro Metropolitana Paulista,Sorocaba
3501202,Álvares Florence,-20.3203,-49.9141,São José do Rio Preto,Votuporanga
3501301,Álvares Machado,-22.0764,-51.4722,Presidente Prudente,Presidente Prudente
3501400,Álvaro de Carvalho,-22.0841,-49.719,Marília,Marília
3501509,Alvinlândia,-22.4435,-49.7623,Marília,Marília
3501608,Americana,-22.7374,-47.3331,Campinas,Campinas
3501707,Américo Brasiliense,-21.7288,-48.1147,Araraquara ,Araraquara
3501806,Américo de Campos,-20.2985,-49.7359,São José do Rio Preto,Votuporanga
3501905,Amparo,-22.7088,-46.772,Campinas,Amparo
3502002,Analândia,-22.1289,-47.6619,Araraquara ,São Carlos
3502101,Andradina,-20.8948,-51.3786,Araçatuba,Andradina
3502200,Angatuba,-23.4917,-48.4139,Itapetininga ,Itapetininga
3502309,Anhembi,-22.793,-48.1336,Bauru,Botucatu
3502408,Anhumas,-22.2934,-51.3895,Presidente Prudente,Presidente Prudente
3502507,Aparecida,-22.8495,-45.2325,Vale do Paraíba Paulista,Guaratinguetá
3502606,Aparecida d'Oeste,-20.4487,-50.8835,São José do Rio Preto,Jales
3502705,Apiaí,-24.5108,-48.8443,Itapetininga ,Capão Bonito
3502754,Araçariguama,-23.4366,-47.0608,Macro Metropolitana Paulista,Sorocaba
3502804,Araçatuba,-21.2076,-50.4401,Araçatuba,Araçatuba
3502903,Araçoiaba da Serra,-23.5029,-47.6166,Macro Metropolitana Paulista,Sorocaba
3503000,Aramina,-20.0882,-47.7873,Ribeirão Preto,Ituverava
3503109,Arandu,-23.1386,-49.0487,Bauru,Avaré
3503158,Arapeí,-22.6717,-44.4441,Vale do Paraíba Paulista,Bananal
3503208,Araraquara,-21.7845,-48.178,Araraquara ,Araraquara
3503307,Araras,-22.3572,-47.3842,Piracicaba,Limeira
3503356,Arco-Íris,-21.7728,-50.466,Marília,Tupã
3503406,Arealva,-22.031,-48.9135,Bauru,Bauru
3503505,Areias,-22.5786,-44.6992,Vale do Paraíba Paulista,Bananal
3503604,Areiópolis,-22.6672,-48.6681,Bauru,Bauru
3503703,Ariranha,-21.1872,-48.7904,São José do Rio Preto,Catanduva
3503802,Artur Nogueira,-22.5727,-47.1727,Campinas,Mogi Mirim
3503901,Arujá,-23.3965,-46.32,Metropolitana de São Paulo,Guarulhos
3503950,Aspásia,-20.16,-50.728,São José do Rio Preto,Jales
3504008,Assis,-22.66,-50.4183,Assis,Assis
3504107,Atibaia,-23.1171,-46.5563,Macro Metropolitana Paulista,Bragança Paulista
3504206,Auriflama,-20.6836,-50.5572,São José do Rio Preto,Auriflama
3504305,Avaí,-22.1514,-49.3356,Bauru,Bauru
3504404,Avanhandava,-21.4584,-49.9509,Araçatuba,Birigui
3504503,Avaré,-23.1067,-48.9251,Bauru,Avaré
3504602,Bady Bassitt,-20.9197,-49.4385,São José do Rio Preto,São José do Rio Preto
3504701,Balbinos,-21.8963,-49.3619,Bauru,Bauru
3504800,Bálsamo,-20.7348,-49.5865,São José do Rio Preto,São José do Rio Preto
3504909,Bananal,-22.6819,-44.3281,Vale do Paraíba Paulista,Bananal
