Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3500105;Interior;Adamantina;3801;133;;;
3500204;Interior;Adolfo;620;19;;;
3500303;Interior;Aguaí;3599;109;;;
3500402;Interior;Águas da Prata;658;26;;;
3500501;Interior;Águas de Lindóia;2031;50;;;
3500550;Interior;Águas de Santa Bárbara;606;18;;;
3500600;Interior;Águas de São Pedro;459;11;;;
3500709;Interior;Agudos;4760;110;;;
3500758;Interior;Alambari;679;12;;;
3500808;Interior;Alfredo Marcondes;267;13;;;
3500907;Interior;Altair;331;17;;;
3501004;Interior;Altinópolis;1027;50;;;
3501103;Interior;Alto Alegre;401;21;;;
3501152;Interior;Alumínio;1636;53;;;
3501202;Interior;Álvares Florence;624;15;;;
3501301;Interior;Álvares Machado;2444;73;;;
3501400;Interior;Álvaro de Carvalho;286;9;;;
3501509;Interior;Alvinlândia;144;9;;;
3501608;Interior;Americana;26993;831;;;
3501707;Interior;Américo Brasiliense;4313;97;;;
3501806;Interior;Américo de Campos;1168;35;;;
3501905;Interior;Amparo;7694;137;;;
3502002;Interior;Analândia;377;5;;;
3502101;Interior;Andradina;6833;274;;;
3502200;Interior;Angatuba;3184;77;;;
3502309;Interior;Anhembi;331;9;;;
3502408;Interior;Anhumas;344;7;;;
3502507;Interior;Aparecida;2874;112;;;
3502606;Interior;Aparecida d'Oeste;843;18;;;
3502705;Interior;Apiaí;1776;85;;;
3502754;Interior;Araçariguama;2142;71;;;
3502804;Interior;Araçatuba;30386;919;;;
3502903;Interior;Araçoiaba da Serra;3083;85;;;
3503000;Interior;Aramina;366;18;;;
3503109;Interior;Arandu;657;21;;;
3503158;Interior;Arapeí;269;3;;;
3503208;Interior;Araraquara;25130;510;;;
3503307;Interior;Araras;18334;396;;;
3503356;Interior;Arco-Íris;163;8;;;
3503406;Interior;Arealva;1008;20;;;
3503505;Interior;Areias;367;2;;;
3503604;Interior;Areiópolis;1406;21;;;
3503703;Interior;Ariranha;1012;26;;;
3503802;Interior;Artur Nogueira;5558;143;;;
3503901;RMSP (exceto capital);Arujá;8382;334;;;
3503950;Interior;Aspásia;212;8;;;
3504008;Interior;Assis;11872;409;;;
3504107;Interior;Atibaia;12663;281;;;
3504206;Interior;Auriflama;2069;73;;;
3504305;Interior;Avaí;490;12;;;
3504404;Interior;Avanhandava;1227;43;;;
3504503;Interior;Avaré;11738;278;;;
3504602;Interior;Bady Bassitt;4147;84;;;
3504701;Interior;Balbinos;372;4;;;
3504800;Interior;Bálsamo;1803;66;;;
3504909;Interior;Bananal;1133;4;;;
3505005;Interior;Barão de Antonina;518;10;;;
3505104;Interior;Barbosa;771;20;;;
3505203;Interior;Bariri;3197;132;;;
3505302;Interior;Barra Bonita;3880;113;;;
3505351;Interior;Barra do Chapéu;448;6;;;
3505401;Interior;Barra do Turvo;720;19;;;
3505500;Interior;Barretos;17703;582;;;
3505609;Interior;Barrinha;1707;72;;;
3505708;RMSP (exceto capital);Barueri;34559;1157;;;
3505807;Interior;Bastos;2056;46;;;
3505906;Interior;Batatais;6390;173;;;
3506003;Interior;Bauru;53175;1231;;;
3506102;Interior;Bebedouro;4465;196;;;
3506201;Interior;Bento de Abreu;363;5;;;
3506300;Interior;Bernardino de Campos;911;32;;;
3506359;Interior;Bertioga;6111;165;;;
3506409;Interior;Bilac;958;23;;;
3506508;Interior;Birigui;17858;590;;;
3506607;RMSP (exceto capital);Biritiba Mirim;1548;102;;;
3506706;Interior;Boa Esperança do Sul;1744;21;;;
3506805;Interior;Bocaina;1356;35;;;
3506904;Interior;Bofete;970;22;;;
3507001;Interior;Boituva;6661;190;;;
3507100;Interior;Bom Jesus dos Perdões;2466;29;;;
3507159;Interior;Bom Sucesso de Itararé;257;6;;;
3507209;Interior;Borá;126;1;;;
3507308;Interior;Boracéia;992;24;;;
3507407;Interior;Borborema;1711;52;;;
3507456;Interior;Borebi;290;4;;;
3507506;Interior;Botucatu;18792;320;;;
3507605;Interior;Bragança Paulista;22534;572;;;
3507704;Interior;Braúna;623;24;;;
3507753;Interior;Brejo Alegre;403;13;;;
3507803;Interior;Brodowski;2861;78;;;
3507902;Interior;Brotas;2143;69;;;
3508009;Interior;Buri;2678;93;;;
3508108;Interior;Buritama;2675;75;;;
3508207;Interior;Buritizal;352;10;;;
3508306;Interior;Cabrália Paulista;457;9;;;
3508405;Interior;Cabreúva;4896;122;;;
3508504;Interior;Caçapava;8905;276;;;
3508603;Interior;Cachoeira Paulista;2694;44;;;
3508702;Interior;Caconde;1451;39;;;
3508801;Interior;Cafelândia;827;48;;;
3508900;Interior;Caiabu;316;7;;;
3509007;RMSP (exceto capital);Caieiras;9571;325;;;
3509106;Interior;Caiuá;408;10;;;
3509205;RMSP (exceto capital);Cajamar;5415;233;;;
3509254;Interior;Cajati;4684;103;;;
3509304;Interior;Cajobi;1100;32;;;
3509403;Interior;Cajuru;1996;57;;;
3509452;Interior;Campina do Monte Alegre;617;24;;;
3509502;Interior;Campinas;112293;4446;;;
3509601;Interior;Campo Limpo Paulista;6366;269;;;
3509700;Interior;Campos do Jordão;5598;143;;;
3509809;Interior;Campos Novos Paulista;311;10;;;
3509908;Interior;Cananéia;903;30;;;
3509957;Interior;Canas;221;4;;;
3510005;Interior;Cândido Mota;4489;161;;;
3510104;Interior;Cândido Rodrigues;142;7;;;
3510153;Interior;Canitar;872;25;;;
3510203;Interior;Capão Bonito;5994;72;;;
3510302;Interior;Capela do Alto;1655;35;;;
3510401;Interior;Capivari;5979;110;;;
3510500;Interior;Caraguatatuba;17994;460;;;
3510609;RMSP (exceto capital);Carapicuíba;33197;1135;;;
3510708;Interior;Cardoso;1662;61;;;
3510807;Interior;Casa Branca;3271;97;;;
3510906;Interior;Cássia dos Coqueiros;253;1;;;
3511003;Interior;Castilho;2384;88;;;
3511102;Interior;Catanduva;15963;614;;;
3511201;Interior;Catiguá;879;39;;;
3511300;Interior;Cedral;1334;30;;;
3511409;Interior;Cerqueira César;2164;48;;;
3511508;Interior;Cerquilho;6512;157;;;
3511607;Interior;Cesário Lange;2352;69;;;
3511706;Interior;Charqueada;1486;44;;;
3511904;Interior;Clementina;966;21;;;
3512001;Interior;Colina;1635;58;;;
3512100;Interior;Colômbia;690;14;;;
3512209;Interior;Conchal;2899;73;;;
3512308;Interior;Conchas;2447;72;;;
3512407;Interior;Cordeirópolis;5906;98;;;
3512506;Interior;Coroados;762;20;;;
3512605;Interior;Coronel Macedo;666;25;;;
3512704;Interior;Corumbataí;400;7;;;
3512803;Interior;Cosmópolis;7916;172;;;
3512902;Interior;Cosmorama;793;38;;;
3513009;RMSP (exceto capital);Cotia;15920;638;;;
3513108;Interior;Cravinhos;2203;96;;;
3513207;Interior;Cristais Paulista;1292;15;;;
3513306;Interior;Cruzália;198;6;;;
3513405;Interior;Cruzeiro;6768;100;;;
3513504;Interior;Cubatão;13812;476;;;
3513603;Interior;Cunha;962;13;;;
3513702;Interior;Descalvado;4188;81;;;
3513801;RMSP (exceto capital);Diadema;26410;1377;;;
3513850;Interior;Dirce Reis;195;5;;;
3513900;Interior;Divinolândia;1370;48;;;
3514007;Interior;Dobrada;614;9;;;
