Data de Registro,1ª Dose,2ª Dose,3ª Dose,Dose Única
1 de abril de 2021,91072,43424,0,0
1 de agosto de 2021,16646,7525,0,164
1 de fevereiro de 2021,56138,48,0,0
1 de julho de 2021,332178,11956,0,33473
1 de junho de 2021,150175,56053,0,1
1 de maio de 2021,28473,35864,0,0
1 de março de 2021,112704,28105,0,0
1 de outubro de 2021,37186,274527,27899,491
1 de setembro de 2021,274208,323986,0,704
10 de abril de 2021,67680,56565,0,0
10 de agosto de 2021,419709,217831,0,2381
10 de fevereiro de 2021,82681,4393,0,0
10 de julho de 2021,74516,20399,0,36723
10 de junho de 2021,190351,13036,0,0
10 de maio de 2021,107361,66061,0,0
10 de março de 2021,59897,47870,0,0
10 de setembro de 2021,185194,459597,14200,922
11 de abril de 2021,11888,13993,0,0
11 de agosto de 2021,414956,189911,0,1576
11 de fevereiro de 2021,94586,32627,0,0
11 de julho de 2021,13315,3255,0,3284
11 de junho de 2021,247296,10724,0,0
11 de maio de 2021,117144,57512,0,0
11 de março de 2021,56554,48157,0,0
11 de setembro de 2021,104957,300837,14373,138
12 de abril de 2021,145688,127812,0,0
12 de agosto de 2021,448986,226553,0,3323
12 de fevereiro de 2021,107352,51133,0,0
12 de julho de 2021,274219,67075,0,56296
12 de junho de 2021,154560,3629,0,0
12 de maio de 2021,182419,40035,0,0
12 de março de 2021,55647,43355,0,0
12 de setembro de 2021,22040,39010,328,10
13 de abril de 2021,134310,91661,0,0
13 de agosto de 2021,451705,261236,0,3782
13 de fevereiro de 2021,29943,12463,0,0
13 de julho de 2021,210679,73476,0,54521
13 de junho de 2021,16790,693,0,0
13 de maio de 2021,151794,29349,0,0
13 de março de 2021,29726,11756,0,0
13 de setembro de 2021,172835,470523,19433,429
14 de abril de 2021,122240,83114,0,0
14 de agosto de 2021,430016,197787,0,1979
14 de fevereiro de 2021,7174,9369,0,0
14 de julho de 2021,196729,161789,0,44529
14 de junho de 2021,252242,10733,0,1
14 de maio de 2021,201065,27066,0,0
14 de março de 2021,9397,1803,0,0
14 de setembro de 2021,162306,459588,20056,798
15 de abril de 2021,89094,124016,0,0
15 de agosto de 2021,241618,47195,0,1862
15 de fevereiro de 2021,68485,51983,0,0
15 de julho de 2021,312683,144840,0,36540
15 de junho de 2021,283483,10913,0,0
15 de maio de 2021,121692,19280,0,0
15 de março de 2021,131386,29382,0,0
15 de setembro de 2021,139462,370491,23973,459
16 de abril de 2021,65782,234333,0,0
16 de agosto de 2021,314188,363213,0,1651
16 de fevereiro de 2021,53746,56299,0,0
16 de julho de 2021,338588,192019,0,32095
16 de junho de 2021,403958,9308,0,1
16 de maio de 2021,81969,3314,0,0
16 de março de 2021,82617,25597,0,0
16 de setembro de 2021,117063,377496,19674,252
17 de abril de 2021,35628,82779,0,0
17 de agosto de 2021,283665,390143,0,1713
17 de fevereiro de 2021,51913,53872,0,0
17 de janeiro de 2021,100,0,0,0
17 de julho de 2021,312836,103373,0,38542
17 de junho de 2021,468640,11401,0,0
17 de maio de 2021,74380,18435,0,0
17 de março de 2021,79720,32518,0,0
17 de setembro de 2021,97579,405834,20074,490
18 de abril de 2021,14500,17685,0,0
18 de agosto de 2021,235456,424505,0,2672
18 de fevereiro de 2021,50244,52906,0,0
18 de janeiro de 2021,877,2,0,0
18 de julho de 2021,42203,6080,0,2258
