Departamento Regional de Saúde,Município,Unidade Hospitalar,Leitos de Enfermaria Ocupados,Leitos de UTI Ocupados
Araçatuba,Araçatuba,Hospital Municipal Da Mulher Dr Joao Luis J Rosseto,2,0
Araçatuba,Mirandópolis,Unid Int Saude Dr Oswaldo B Faria De Mirandopolis,1,0
Araraquara,Américo Brasiliense,Hospital Estadual Américo Brasiliense,1,0
Araraquara,Américo Brasiliense,Hospital Nestor Goulart Reis Americo Brasiliense,1,0
Araraquara,Araraquara,Fundação Municipal Irene Siqueira Alves Hospital,1,0
Araraquara,Araraquara,Hospital De Campanha Covid 19 Araraquara,1,0
Araraquara,Araraquara,Unidade De Retaguarda De Urgencia E Diagnostico Do Melhado,9,0
Araraquara,Araraquara,Upa Dr Antonio Alonso Martinez Vila Xavier,5,0
Araraquara,São Carlos,Hospital Universitário Da Universidade Federal De São Carlos - Hu-Ufscar,7,3
Baixada Santista,Bertioga,Hospital Municipal De Bertioga,4,3
Baixada Santista,Mongaguá,Unidade De Pronto Atendimento De Agenor De Campos,3,0
Baixada Santista,Praia Grande,Complexo Hospitalar Irma Dulce O S S,8,2
Baixada Santista,Santos,Complexo Hospitalar Dos Estivadores,1,6
Baixada Santista,Santos,Hospital De Campanha Covid 19 Hospital Vitoria,6,7
Baixada Santista,Santos,Hospital Guilherme Álvaro,3,11
Baixada Santista,Santos,Secao Pronto Socorro Central Sepros C,1,3
Baixada Santista,São Vicente,Hospital Municipal De Sao Vicente - Hospital Geral,3,1
Barretos,Bebedouro,Hospital De Campanha Covid 19 Bebedouro,1,1
Bauru,Bauru,Hospital Estadual Bauru,0,1
Bauru,Bauru,Posto Avancado Covid 19,3,0
Bauru,Bauru,Secretaria De Estado Da Saude,6,4
Bauru,Botucatu,Hospital Das Clinicas Da Faculdade De Medicina De Botucatu,3,19
Campinas,Americana,Hospital Municipal Dr Waldemar Tebaldi,7,6
Campinas,Campinas,Complexo Hospitalar Pref. Edivaldo Orsi (Hospital Geral),16,17
Campinas,Campinas,Hospital De Campanha Covid 19 Anchieta,23,0
Campinas,Campinas,Hospital De Campanha Covid 19 Carlos Lourenco,5,0
Campinas,Campinas,Hospital De Clinicas Unicamp,19,8
Campinas,Campinas,Hospital Municipal Dr Mario Gatti,12,4
Campinas,Hortolândia,Hospital E Maternidade Municipal Governador Mário Covas,1,0
Campinas,Itupeva,Hospital Nossa Senhora Aparecida,1,3
Campinas,Jaguariuna,Hospital Municipal Walter Ferrari,5,9
Campinas,Jundiaí,Hospital Universitario De Jundiai,2,0
Campinas,Jundiaí,Os Irssl Unidade Hosp. Regional Jundiai,1,0
Campinas,Nova Odessa,Hospital De Campanha Covid 19,1,0
Campinas,Paulinia,Hospital Geral,0,1
