Município,1ª Dose,2ª Dose,3ª Dose,Dose Única,Doses Distribuídas
Adamantina,29416,23053,1464,878,54321
Adolfo,3666,2949,205,77,6054
Aguaí,27282,21410,862,1042,52764
Agudos,31566,23104,1023,873,57734
Alambari,4639,3534,141,171,8414
Alfredo Marcondes,3814,3208,335,83,6649
Altair,2898,2310,190,115,6083
Altinópolis,13465,11289,650,384,25948
Alto Alegre,3347,2783,205,100,6770
Alumínio,13710,8352,155,508,26332
Alvinlândia,2481,1858,67,68,4692
Americana,189525,146948,5372,6210,357733
Amparo,59684,46616,2306,1758,110289
Américo Brasiliense,28142,20796,1158,1088,59089
Américo De Campos,4836,4028,162,125,9304
Analândia,3631,2646,132,120,6751
Andradina,46751,36511,1165,1294,87067
Angatuba,19101,14366,304,477,33433
Anhembi,5107,3709,117,148,9695
Anhumas,3245,2713,82,83,6245
Aparecida,27604,19968,704,927,52074
Aparecida D'Oeste,3711,3177,271,78,6754
Apiaí,19413,14932,468,515,35788
Aramina,4391,3571,123,134,8864
Arandu,5171,4168,169,150,9642
Arapeí,2009,1651,42,59,3909
Araraquara,196742,154013,4559,6064,360219
Araras,107165,81744,3317,3812,184713
Araçariguama,17195,10940,203,587,29731
Araçatuba,160863,123512,5614,4809,299576
Araçoiaba Da Serra,26074,19506,626,816,48165
Arco-Íris,1688,1356,125,30,3102
Arealva,6947,5692,233,194,13196
Areias,3085,2315,98,71,5648
Areiópolis,7805,5910,285,311,15850
Ariranha,6654,5386,320,258,13880
Artur Nogueira,41854,31279,757,1508,78542
Arujá,68998,52717,1394,2309,134831
Aspásia,1616,1366,148,15,2877
Assis,82161,63952,4409,2146,153349
Atibaia,120616,84009,4339,3531,220244
Auriflama,11061,8516,351,351,22651
Avanhandava,9660,7327,293,225,18513
Avaré,76035,58157,2809,2117,139565
Avaí,4226,3413,192,40,7920
Bady Bassitt,15421,12346,441,400,28514
Balbinos,4545,4203,121,52,11038
Bananal,8522,5895,298,262,16504
Barbosa,5209,3947,206,115,9928
Bariri,25558,20033,801,829,48582
Barra Bonita,29135,24281,1243,980,54860
Barra Do Chapéu,4336,3301,54,115,8395
Barra Do Turvo,6136,3986,305,95,12246
Barretos,101852,79518,2939,2711,191275
