Dia de Data Registro Vacina;Dose;Contagem de Dose
6 de outubro de 2021;1° DOSE;23652
5 de outubro de 2021;1° DOSE;37564
4 de outubro de 2021;1° DOSE;40523
3 de outubro de 2021;1° DOSE;7040
2 de outubro de 2021;1° DOSE;51242
1 de outubro de 2021;1° DOSE;37185
30 de setembro de 2021;1° DOSE;48850
29 de setembro de 2021;1° DOSE;50137
28 de setembro de 2021;1° DOSE;54333
27 de setembro de 2021;1° DOSE;62495
26 de setembro de 2021;1° DOSE;6592
25 de setembro de 2021;1° DOSE;30683
24 de setembro de 2021;1° DOSE;60135
23 de setembro de 2021;1° DOSE;67398
22 de setembro de 2021;1° DOSE;64141
21 de setembro de 2021;1° DOSE;68117
20 de setembro de 2021;1° DOSE;74200
19 de setembro de 2021;1° DOSE;13508
18 de setembro de 2021;1° DOSE;56270
17 de setembro de 2021;1° DOSE;97579
16 de setembro de 2021;1° DOSE;117064
15 de setembro de 2021;1° DOSE;139462
14 de setembro de 2021;1° DOSE;162306
13 de setembro de 2021;1° DOSE;172834
12 de setembro de 2021;1° DOSE;22040
11 de setembro de 2021;1° DOSE;104957
10 de setembro de 2021;1° DOSE;185197
9 de setembro de 2021;1° DOSE;238425
8 de setembro de 2021;1° DOSE;197214
7 de setembro de 2021;1° DOSE;38163
6 de setembro de 2021;1° DOSE;195755
5 de setembro de 2021;1° DOSE;14460
4 de setembro de 2021;1° DOSE;78756
3 de setembro de 2021;1° DOSE;196835
2 de setembro de 2021;1° DOSE;213878
1 de setembro de 2021;1° DOSE;274208
31 de agosto de 2021;1° DOSE;295131
30 de agosto de 2021;1° DOSE;274783
29 de agosto de 2021;1° DOSE;20282
28 de agosto de 2021;1° DOSE;65810
27 de agosto de 2021;1° DOSE;124042
26 de agosto de 2021;1° DOSE;134063
25 de agosto de 2021;1° DOSE;146215
24 de agosto de 2021;1° DOSE;151017
23 de agosto de 2021;1° DOSE;147071
22 de agosto de 2021;1° DOSE;20410
