Municipio;Nomes de medida;Ranking;Valores de medida
BOTUCATU;% em relação as doses enviadas;1º;1,446079535
BOTUCATU;Total de Doses Aplicadas;1º;269743
BOTUCATU;Qtd-Doses-Distribuidas;1º;186534
SÃO FRANCISCO;% em relação as doses enviadas;2º;1,136886228
SÃO FRANCISCO;Total de Doses Aplicadas;2º;4746,5
SÃO FRANCISCO;Qtd-Doses-Distribuidas;2º;4175
OCAUÇU;% em relação as doses enviadas;3º;1,132780083
OCAUÇU;Total de Doses Aplicadas;3º;6825
OCAUÇU;Qtd-Doses-Distribuidas;3º;6025
FLORA RICA;% em relação as doses enviadas;4º;1,132067328
FLORA RICA;Total de Doses Aplicadas;4º;2623
FLORA RICA;Qtd-Doses-Distribuidas;4º;2317
ADOLFO;% em relação as doses enviadas;5º;1,128675256
ADOLFO;Total de Doses Aplicadas;5º;6833
ADOLFO;Qtd-Doses-Distribuidas;5º;6054
TURMALINA;% em relação as doses enviadas;6º;1,121036481
TURMALINA;Total de Doses Aplicadas;6º;3288
TURMALINA;Qtd-Doses-Distribuidas;6º;2933
POLONI;% em relação as doses enviadas;7º;1,105680869
POLONI;Total de Doses Aplicadas;7º;9264,5
POLONI;Qtd-Doses-Distribuidas;7º;8379
DESCALVADO;% em relação as doses enviadas;8º;1,100853857
DESCALVADO;Total de Doses Aplicadas;8º;51313
DESCALVADO;Qtd-Doses-Distribuidas;8º;46612
DUARTINA;% em relação as doses enviadas;9º;1,089757069
DUARTINA;Total de Doses Aplicadas;9º;19693
DUARTINA;Qtd-Doses-Distribuidas;9º;18071
TIMBURI;% em relação as doses enviadas;10º;1,088220230
TIMBURI;Total de Doses Aplicadas;10º;4249,5
TIMBURI;Qtd-Doses-Distribuidas;10º;3905
ESTRELA DO NORTE;% em relação as doses enviadas;11º;1,082971662
ESTRELA DO NORTE;Total de Doses Aplicadas;11º;4242
ESTRELA DO NORTE;Qtd-Doses-Distribuidas;11º;3917
POPULINA;% em relação as doses enviadas;12º;1,081135092
POPULINA;Total de Doses Aplicadas;12º;6762,5
POPULINA;Qtd-Doses-Distribuidas;12º;6255
ALFREDO MARCONDES;% em relação as doses enviadas;13º;1,079335238
ALFREDO MARCONDES;Total de Doses Aplicadas;13º;7176,5
ALFREDO MARCONDES;Qtd-Doses-Distribuidas;13º;6649
SANTANA DA PONTE PENSA;% em relação as doses enviadas;14º;1,079055441
SANTANA DA PONTE PENSA;Total de Doses Aplicadas;14º;2627,5
SANTANA DA PONTE PENSA;Qtd-Doses-Distribuidas;14º;2435
CATIGUÁ;% em relação as doses enviadas;15º;1,077112776
CATIGUÁ;Total de Doses Aplicadas;15º;11356
CATIGUÁ;Qtd-Doses-Distribuidas;15º;10543
DOLCINÓPOLIS;% em relação as doses enviadas;16º;1,073678290
DOLCINÓPOLIS;Total de Doses Aplicadas;16º;3818
DOLCINÓPOLIS;Qtd-Doses-Distribuidas;16º;3556
TAPIRAÍ;% em relação as doses enviadas;17º;1,073433630
TAPIRAÍ;Total de Doses Aplicadas;17º;11701,5
TAPIRAÍ;Qtd-Doses-Distribuidas;17º;10901
DIVINOLÂNDIA;% em relação as doses enviadas;18º;1,070711993
DIVINOLÂNDIA;Total de Doses Aplicadas;18º;18677,5
DIVINOLÂNDIA;Qtd-Doses-Distribuidas;18º;17444
NOVA INDEPENDÊNCIA;% em relação as doses enviadas;19º;1,068178514
NOVA INDEPENDÊNCIA;Total de Doses Aplicadas;19º;7348
NOVA INDEPENDÊNCIA;Qtd-Doses-Distribuidas;19º;6879
URU;% em relação as doses enviadas;20º;1,066431925
URU;Total de Doses Aplicadas;20º;2271,5
URU;Qtd-Doses-Distribuidas;20º;2130
ASPÁSIA;% em relação as doses enviadas;21º;1,065519639
ASPÁSIA;Total de Doses Aplicadas;21º;3065,5
ASPÁSIA;Qtd-Doses-Distribuidas;21º;2877
JERIQUARA;% em relação as doses enviadas;22º;1,063827482
JERIQUARA;Total de Doses Aplicadas;22º;4908,5
JERIQUARA;Qtd-Doses-Distribuidas;22º;4614
PEDRINHAS PAULISTA;% em relação as doses enviadas;23º;1,059859926
PEDRINHAS PAULISTA;Total de Doses Aplicadas;23º;4842,5
PEDRINHAS PAULISTA;Qtd-Doses-Distribuidas;23º;4569
OUROESTE;% em relação as doses enviadas;24º;1,059022204
OUROESTE;Total de Doses Aplicadas;24º;15834,5
OUROESTE;Qtd-Doses-Distribuidas;24º;14952
CRUZÁLIA;% em relação as doses enviadas;25º;1,058850227
CRUZÁLIA;Total de Doses Aplicadas;25º;3499,5
CRUZÁLIA;Qtd-Doses-Distribuidas;25º;3305
PAULISTÂNIA;% em relação as doses enviadas;26º;1,057859881
PAULISTÂNIA;Total de Doses Aplicadas;26º;3035
PAULISTÂNIA;Qtd-Doses-Distribuidas;26º;2869
SEBASTIANÓPOLIS DO SUL;% em relação as doses enviadas;27º;1,056547619
SEBASTIANÓPOLIS DO SUL;Total de Doses Aplicadas;27º;5502,5
SEBASTIANÓPOLIS DO SUL;Qtd-Doses-Distribuidas;27º;5208
NARANDIBA;% em relação as doses enviadas;28º;1,055904962
NARANDIBA;Total de Doses Aplicadas;28º;7555
NARANDIBA;Qtd-Doses-Distribuidas;28º;7155
TRÊS FRONTEIRAS;% em relação as doses enviadas;29º;1,053421369
TRÊS FRONTEIRAS;Total de Doses Aplicadas;29º;9652,5
TRÊS FRONTEIRAS;Qtd-Doses-Distribuidas;29º;9163
PEDRANÓPOLIS;% em relação as doses enviadas;30º;1,052561624
PEDRANÓPOLIS;Total de Doses Aplicadas;30º;4355,5
PEDRANÓPOLIS;Qtd-Doses-Distribuidas;30º;4138
SALES;% em relação as doses enviadas;31º;1,051435279
SALES;Total de Doses Aplicadas;31º;9853
SALES;Qtd-Doses-Distribuidas;31º;9371
UNIÃO PAULISTA;% em relação as doses enviadas;32º;1,051422764
UNIÃO PAULISTA;Total de Doses Aplicadas;32º;2586,5
UNIÃO PAULISTA;Qtd-Doses-Distribuidas;32º;2460
RIBEIRÃO DOS ÍNDIOS;% em relação as doses enviadas;33º;1,050566696
RIBEIRÃO DOS ÍNDIOS;Total de Doses Aplicadas;33º;3615
RIBEIRÃO DOS ÍNDIOS;Qtd-Doses-Distribuidas;33º;3441
ITABERÁ;% em relação as doses enviadas;34º;1,050495087
ITABERÁ;Total de Doses Aplicadas;34º;27690
ITABERÁ;Qtd-Doses-Distribuidas;34º;26359
SANTA CLARA D'OESTE;% em relação as doses enviadas;35º;1,049337468
SANTA CLARA D'OESTE;Total de Doses Aplicadas;35º;3722
SANTA CLARA D'OESTE;Qtd-Doses-Distribuidas;35º;3547
BASTOS;% em relação as doses enviadas;36º;1,048911480
BASTOS;Total de Doses Aplicadas;36º;32811
BASTOS;Qtd-Doses-Distribuidas;36º;31281
FLORÍNEA;% em relação as doses enviadas;37º;1,047667863
FLORÍNEA;Total de Doses Aplicadas;37º;6132
FLORÍNEA;Qtd-Doses-Distribuidas;37º;5853
SANTA SALETE;% em relação as doses enviadas;38º;1,047094569
SANTA SALETE;Total de Doses Aplicadas;38º;2757
SANTA SALETE;Qtd-Doses-Distribuidas;38º;2633
VARGEM GRANDE DO SUL;% em relação as doses enviadas;39º;1,046867782
VARGEM GRANDE DO SUL;Total de Doses Aplicadas;39º;58924
VARGEM GRANDE DO SUL;Qtd-Doses-Distribuidas;39º;56286
APARECIDA D'OESTE;% em relação as doses enviadas;40º;1,043381700
APARECIDA D'OESTE;Total de Doses Aplicadas;40º;7047
APARECIDA D'OESTE;Qtd-Doses-Distribuidas;40º;6754
PARISI;% em relação as doses enviadas;41º;1,043101183
PARISI;Total de Doses Aplicadas;41º;3969
PARISI;Qtd-Doses-Distribuidas;41º;3805
CAIUÁ;% em relação as doses enviadas;42º;1,042384912
CAIUÁ;Total de Doses Aplicadas;42º;10280
CAIUÁ;Qtd-Doses-Distribuidas;42º;9862
TAIÚVA;% em relação as doses enviadas;43º;1,040697674
TAIÚVA;Total de Doses Aplicadas;43º;9845
TAIÚVA;Qtd-Doses-Distribuidas;43º;9460
IEPÊ;% em relação as doses enviadas;44º;1,040283570
IEPÊ;Total de Doses Aplicadas;44º;12473
IEPÊ;Qtd-Doses-Distribuidas;44º;11990
ESTRELA D'OESTE;% em relação as doses enviadas;45º;1,039027412
ESTRELA D'OESTE;Total de Doses Aplicadas;45º;13418
ESTRELA D'OESTE;Qtd-Doses-Distribuidas;45º;12914
SANTA ERNESTINA;% em relação as doses enviadas;46º;1,037230172
SANTA ERNESTINA;Total de Doses Aplicadas;46º;8553
SANTA ERNESTINA;Qtd-Doses-Distribuidas;46º;8246
ARARAS;% em relação as doses enviadas;47º;1,036960041
ARARAS;Total de Doses Aplicadas;47º;191540
ARARAS;Qtd-Doses-Distribuidas;47º;184713
CORONEL MACEDO;% em relação as doses enviadas;48º;1,036478873
CORONEL MACEDO;Total de Doses Aplicadas;48º;7359
CORONEL MACEDO;Qtd-Doses-Distribuidas;48º;7100
SILVEIRAS;% em relação as doses enviadas;49º;1,036445359
SILVEIRAS;Total de Doses Aplicadas;49º;9569,5
SILVEIRAS;Qtd-Doses-Distribuidas;49º;9233
MARINÓPOLIS;% em relação as doses enviadas;50º;1,036432575
MARINÓPOLIS;Total de Doses Aplicadas;50º;3143,5
MARINÓPOLIS;Qtd-Doses-Distribuidas;50º;3033
IRAPURU;% em relação as doses enviadas;51º;1,036099692
IRAPURU;Total de Doses Aplicadas;51º;12097,5
IRAPURU;Qtd-Doses-Distribuidas;51º;11676
MIRA ESTRELA;% em relação as doses enviadas;52º;1,034612964
MIRA ESTRELA;Total de Doses Aplicadas;52º;4932
MIRA ESTRELA;Qtd-Doses-Distribuidas;52º;4767
SUD MENNUCCI;% em relação as doses enviadas;53º;1,033176001
SUD MENNUCCI;Total de Doses Aplicadas;53º;11382,5
SUD MENNUCCI;Qtd-Doses-Distribuidas;53º;11017
EMILIANÓPOLIS;% em relação as doses enviadas;54º;1,033046580
EMILIANÓPOLIS;Total de Doses Aplicadas;54º;4923,5
EMILIANÓPOLIS;Qtd-Doses-Distribuidas;54º;4766
MESÓPOLIS;% em relação as doses enviadas;55º;1,031209781
MESÓPOLIS;Total de Doses Aplicadas;55º;3205
MESÓPOLIS;Qtd-Doses-Distribuidas;55º;3108
LAGOINHA;% em relação as doses enviadas;56º;1,030587955
LAGOINHA;Total de Doses Aplicadas;56º;8659
LAGOINHA;Qtd-Doses-Distribuidas;56º;8402
PALMEIRA D'OESTE;% em relação as doses enviadas;57º;1,030269058
PALMEIRA D'OESTE;Total de Doses Aplicadas;57º;14704
PALMEIRA D'OESTE;Qtd-Doses-Distribuidas;57º;14272
ILHA SOLTEIRA;% em relação as doses enviadas;58º;1,030154943
ILHA SOLTEIRA;Total de Doses Aplicadas;58º;40157,5
ILHA SOLTEIRA;Qtd-Doses-Distribuidas;58º;38982
INDIANA;% em relação as doses enviadas;59º;1,029795805
INDIANA;Total de Doses Aplicadas;59º;7413,5
INDIANA;Qtd-Doses-Distribuidas;59º;7199
PIRATININGA;% em relação as doses enviadas;60º;1,029262937
PIRATININGA;Total de Doses Aplicadas;60º;21561
PIRATININGA;Qtd-Doses-Distribuidas;60º;20948
SANTO ANTÔNIO DA ALEGRIA;% em relação as doses enviadas;61º;1,028675400
SANTO ANTÔNIO DA ALEGRIA;Total de Doses Aplicadas;61º;10600,5
SANTO ANTÔNIO DA ALEGRIA;Qtd-Doses-Distribuidas;61º;10305
CEDRAL;% em relação as doses enviadas;62º;1,028255528
CEDRAL;Total de Doses Aplicadas;62º;15066
CEDRAL;Qtd-Doses-Distribuidas;62º;14652
BRAGANÇA PAULISTA;% em relação as doses enviadas;63º;1,027566525
BRAGANÇA PAULISTA;Total de Doses Aplicadas;63º;264826,5
BRAGANÇA PAULISTA;Qtd-Doses-Distribuidas;63º;257722
PEDRA BELA;% em relação as doses enviadas;64º;1,027419355
PEDRA BELA;Total de Doses Aplicadas;64º;9873,5
PEDRA BELA;Qtd-Doses-Distribuidas;64º;9610
DUMONT;% em relação as doses enviadas;65º;1,026991465
DUMONT;Total de Doses Aplicadas;65º;14439,5
DUMONT;Qtd-Doses-Distribuidas;65º;14060
TAQUARITUBA;% em relação as doses enviadas;66º;1,026877228
TAQUARITUBA;Total de Doses Aplicadas;66º;36869
TAQUARITUBA;Qtd-Doses-Distribuidas;66º;35904
PRESIDENTE BERNARDES;% em relação as doses enviadas;67º;1,024987805
PRESIDENTE BERNARDES;Total de Doses Aplicadas;67º;23114,5
PRESIDENTE BERNARDES;Qtd-Doses-Distribuidas;67º;22551
CÂNDIDO RODRIGUES;% em relação as doses enviadas;68º;1,022702226
CÂNDIDO RODRIGUES;Total de Doses Aplicadas;68º;4640
CÂNDIDO RODRIGUES;Qtd-Doses-Distribuidas;68º;4537
GENERAL SALGADO;% em relação as doses enviadas;69º;1,022668435
GENERAL SALGADO;Total de Doses Aplicadas;69º;16196
GENERAL SALGADO;Qtd-Doses-Distribuidas;69º;15837
VITÓRIA BRASIL;% em relação as doses enviadas;70º;1,022156573
VITÓRIA BRASIL;Total de Doses Aplicadas;70º;2768
VITÓRIA BRASIL;Qtd-Doses-Distribuidas;70º;2708
PARANAPANEMA;% em relação as doses enviadas;71º;1,021647842
PARANAPANEMA;Total de Doses Aplicadas;71º;28222
PARANAPANEMA;Qtd-Doses-Distribuidas;71º;27624
ITAPETININGA;% em relação as doses enviadas;72º;1,020386559
