Municipio;Classificação de % em relação a população geral;% em relação a população geral;% em relação a população geral;População Município;Total Doses Aplicadas
FLORÍNEA;1;147,983415002;147,983415002;2653;3926
NOVA INDEPENDÊNCIA;2;110,041944239;110,041944239;4053;4460
CAIUÁ;3;106,273124790;106,273124790;5946;6319
PRESIDENTE BERNARDES;4;103,647393074;103,647393074;13023;13498
ÁLVARO DE CARVALHO;5;102,313234736;102,313234736;5274;5396
ADOLFO;6;102,138435566;102,138435566;3554;3630
URU;7;100,780572420;100,780572420;1153;1162
TAIÚVA;8;100,071890726;100,071890726;5564;5568
BORÁ;9;99,761336516;99,761336516;838;836
TURMALINA;10;97,641509434;97,641509434;1696;1656
PACAEMBU;11;97,027273365;97,027273365;14263;13839
ÁGUAS DE SÃO PEDRO;12;96,762283442;96,762283442;3521;3407
ARCO-ÍRIS;13;96,503102087;96,503102087;1773;1711
PARISI;14;94,559704933;94,559704933;2169;2051
PEDRANÓPOLIS;15;94,155582426;94,155582426;2481;2336
SANTA CLARA D'OESTE;16;94,036914340;94,036914340;2113;1987
BERNARDINO DE CAMPOS;17;93,314214017;93,314214017;11158;10412
SANTA RITA D'OESTE;18;92,802573382;92,802573382;2487;2308
ALFREDO MARCONDES;19;92,662523901;92,662523901;4184;3877
RUBINÉIA;20;92,397476341;92,397476341;3170;2929
TRÊS FRONTEIRAS;21;92,215363512;92,215363512;5832;5378
CAJAMAR;22;92,152975595;92,152975595;77934;71818,5
FLORA RICA;23;92,097902098;92,097902098;1430;1317
NOVA CANAÃ PAULISTA;24;92,008639309;92,008639309;1852;1704
BOTUCATU;25;91,908458786;91,908458786;148130;136144
CÁSSIA DOS COQUEIROS;26;91,896207585;91,896207585;2505;2302
CAPELA DO ALTO;27;91,798903979;91,798903979;20985;19264
ÁLVARES FLORENCE;28;91,746641075;91,746641075;3647;3346
MAIRINQUE;29;91,425138593;91,425138593;47441;43373
DOLCINÓPOLIS;30;91,335227273;91,335227273;2112;1929
SANTANA DA PONTE PENSA;31;91,138377641;91,138377641;1467;1337
TAQUARITUBA;32;91,004471964;91,004471964;23256;21164
TUPI PAULISTA;33;90,948469486;90,948469486;15583;14172,5
CERQUEIRA CÉSAR;34;90,941508593;90,941508593;20191;18362
SANTA SALETE;35;90,850515464;90,850515464;1552;1410
MENDONÇA;36;90,332434861;90,332434861;5565;5027
TORRE DE PEDRA;37;90,049545830;90,049545830;2422;2181
ÓLEO;38;90,044516390;90,044516390;2471;2225
NEVES PAULISTA;39;89,801636221;89,801636221;8923;8013
LAGOINHA;40;89,588872980;89,588872980;4889;4380
ILHABELA;41;89,536680622;89,536680622;35591;31867
INDIAPORÃ;42;89,500772002;89,500772002;3886;3478
APARECIDA D'OESTE;43;89,490139490;89,490139490;4158;3721
DIVINOLÂNDIA;44;89,437127909;89,437127909;11086;9915
SANTA MERCEDES;45;89,364593952;89,364593952;2943;2630
SÃO JOÃO DO PAU D'ALHO;46;89,333333333;89,333333333;2100;1876
MERIDIANO;47;89,278242678;89,278242678;3824;3414
PAULISTÂNIA;48;88,985823337;88,985823337;1834;1632
NATIVIDADE DA SERRA;49;88,858777477;88,858777477;6642;5902
ASPÁSIA;50;88,723872387;88,723872387;1818;1613
CRUZÁLIA;51;88,709677419;88,709677419;2046;1815
CEDRAL;52;88,690348812;88,690348812;9346;8289
SANTA FÉ DO SUL;53;88,407087799;88,407087799;32563;28788
ITANHAÉM;54;87,992473473;87,992473473;103102;90722
COSMORAMA;55;87,955604275;87,955604275;7298;6419
GUARAREMA;56;87,904831431;87,904831431;30136;26491
CÂNDIDO RODRIGUES;57;87,852804573;87,852804573;2799;2459
POPULINA;58;87,789017341;87,789017341;4152;3645
UBIRAJARA;59;87,614487927;87,614487927;4804;4209
RIFAINA;60;87,417582418;87,417582418;3640;3182
ESTRELA D'OESTE;61;87,409431049;87,409431049;8419;7359
NARANDIBA;62;87,377650897;87,377650897;4904;4285
PIRATININGA;63;87,272066836;87,272066836;13765;12013
ROSANA;64;87,242798354;87,242798354;16281;14204
GUARANI D'OESTE;65;87,187187187;87,187187187;1998;1742
ÁGUAS DE LINDÓIA;66;87,154402382;87,154402382;18808;16392
RIVERSUL;67;87,121072938;87,121072938;5443;4742
PEDRA BELA;68;87,021276596;87,021276596;6110;5317
COLÔMBIA;69;87,017374517;87,017374517;6216;5409
MACEDÔNIA;70;86,863488624;86,863488624;3692;3207
ITAJOBI;71;86,853631431;86,853631431;15297;13286
BASTOS;72;86,779936047;86,779936047;20953;18183
ITABERÁ;73;86,744851259;86,744851259;17480;15163
MAGDA;74;86,718246293;86,718246293;3102;2690
ECHAPORÃ;75;86,609498681;86,609498681;6064;5252
SÃO LUIZ DO PARAITINGA;76;86,379794200;86,379794200;10690;9234
DUARTINA;77;86,230193839;86,230193839;12433;10721
MIRASSOLÂNDIA;78;86,226875381;86,226875381;4919;4241,5
TIMBURI;79;86,199095023;86,199095023;2652;2286
JACI;80;86,145080600;86,145080600;7196;6199
CAMPINA DO MONTE ALEGRE;81;86,049199274;86,049199274;6057;5212
MONTE MOR;82;85,905454785;85,905454785;60754;52191
PIRACAIA;83;85,816764984;85,816764984;27462;23567
BRAGANÇA PAULISTA;84;85,791019920;85,791019920;170533;146302
JOANÓPOLIS;85;85,739991003;85,739991003;13338;11436
SANTO ANTÔNIO DO JARDIM;86;85,723905724;85,723905724;5940;5092
FERNANDÓPOLIS;87;85,693495865;85,693495865;69402;59473
SÃO PAULO;88;85,690419458;85,690419458;12325232;10561543
SÃO FRANCISCO;89;85,658501952;85,658501952;2817;2413
ADAMANTINA;90;85,582865769;85,582865769;35111;30049
FLOREAL;91;85,551724138;85,551724138;2900;2481
PARDINHO;92;85,540872772;85,540872772;6508;5567
SANTA ALBERTINA;93;85,536366656;85,536366656;6022;5151
MESÓPOLIS;94;85,511811024;85,511811024;1905;1629
SANTOS;95;85,508675079;85,508675079;433656;370813,5
REDENÇÃO DA SERRA;96;85,360771034;85,360771034;3839;3277
CORONEL MACEDO;97;85,242718447;85,242718447;4635;3951
PALMEIRA D'OESTE;98;85,217297063;85,217297063;9227;7863
GÁLIA;99;85,158901574;85,158901574;6482;5520
RIBEIRÃO DO SUL;100;84,996695307;84,996695307;4539;3858
JARINU;101;84,867883855;84,867883855;30617;25984
RAFARD;102;84,803867707;84,803867707;9101;7718
AVARÉ;103;84,791520519;84,791520519;91232;77357
ALTINÓPOLIS;104;84,731222613;84,731222613;16203;13729
TREMEMBÉ;105;84,700507189;84,700507189;47714;40414
VOTUPORANGA;106;84,675575321;84,675575321;95338;80728
OSASCO;107;84,658344096;84,658344096;699944;592561
PARANAPUÃ;108;84,615384615;84,615384615;4095;3465
RIBEIRA;109;84,564564565;84,564564565;3330;2816
JALES;110;84,549094531;84,549094531;49201;41599
FERNÃO;111;84,510712218;84,510712218;1727;1459,5
OCAUÇU;112;84,502446982;84,502446982;4291;3626
RIBEIRÃO CORRENTE;113;84,385521886;84,385521886;4752;4010
ITAOCA;114;84,384384384;84,384384384;3330;2810
PIRAJU;115;84,344973049;84,344973049;29869;25193
